,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund
10,519066.OF,汇添富蓝筹稳健混合A,李威,苏竞(20080708-20131122) 叶从飞(20131122-20150730) 雷鸣(20150106-20220217) 李威(20211213-至今),否,混合型基金,灵活配置型基金,5329494441.29,15.06301369863,1.66,71.252279338982
11,519068.OF,汇添富成长焦点混合,"李威,陈潇扬",袁建军(20070312-20090729) 齐东超(20090728-20140408) 雷鸣(20140327-20211231) 李威(20211231-至今) 陈潇扬(20211231-至今),否,混合型基金,偏股混合型基金,4054662931.41,16.38904109589,0.76,89.626829208751
12,519069.OF,汇添富价值精选混合A,劳杰男,陈晓翔(20090123-20160113) 劳杰男(20151118-至今),否,混合型基金,偏股混合型基金,10516392500.09,14.517808219178,1.58,89.085578623825
13,519087.OF,新华优选分红混合,赵强,蒋畅(20050916-20060712) 曹名长(20060712-20150609) 向朝勇(20070619-20090923) 崔建波(20150609-20170526) 路文韬(20150924-20170523) 赵强(20170517-至今),否,混合型基金,灵活配置型基金,927261726.84,17.87397260274,37.17,88.79443850201
14,519089.OF,新华优选成长混合,栾超,王卫东(20080725-20140102) 曹名长(20080725-20090827) 崔建波(20120110-20130201) 何潇(20120730-20140102) 李昱(20130201-20150915) 付伟(20150825-20180827) 栾超(20180105-至今),否,混合型基金,偏股混合型基金,631189509.28,15.016438356164,35.33,88.286085770061
15,519091.OF,新华泛资源优势混合,栾超,王卫东(20090713-20101013) 崔建波(20100324-20140102) 桂跃强(20110627-20150807) 栾江伟(20150803-20180528) 栾超(20180517-至今),否,混合型基金,灵活配置型基金,1010519397.43,14.049315068493,16.05,79.967942857916
16,519093.OF,新华钻石品质企业混合,蔡春红,曹名长(20100203-20150609) 李昱(20120203-20120322) 贲兴振(20150608-20160628) 付伟(20160617-20190228) 蔡春红(20170106-至今),否,混合型基金,偏股混合型基金,126909554.66,13.487671232877,5.71,94.521605703566
17,519095.OF,新华行业周期轮换混合A,"赵强,张大江",崔建波(20100721-20120110) 周永胜(20100721-20120425) 何潇(20111201-20140715) 桂跃强(20140715-20150807) 蔡春红(20150803-20190228) 路文韬(20150915-20180731) 刘彬(20190228-20221027) 赵强(20221025-至今) 张大江(20230109-至今),否,混合型基金,偏股混合型基金,154179672.04,13.027397260274,4.61,88.080791033112
18,519097.OF,新华中小市值优选混合,王永明,王卫东(20110128-20120327) 桂跃强(20110712-20140102) 贲兴振(20140102-20160628) 付伟(20160617-20210903) 栾超(20170718-20180827) 孙明达(20210903-20211111) 王永明(20211111-至今),否,混合型基金,偏股混合型基金,63832510.02,12.504109589041,,70.50689924435
19,519099.OF,新华灵活主题混合,邓岳,李昱(20110713-20140102) 贲兴振(20130201-20140312) 孔雪梅(20140102-20150615) 李会忠(20150611-20191024) 钟俊(20191024-20210412) 王永明(20210219-20220623) 张媛(20211021-20221214) 邓岳(20221214-至今),否,混合型基金,偏股混合型基金,11190944.23,12.049315068493,,92.221935763754
20,519110.OF,浦银安盛价值成长混合A,蒋佳良,杨典(20080416-20090521) 张建宏(20090521-20100106) 蒋建伟(20100721-20200713) 吴勇(20200713-20230303) 蒋佳良(20230303-至今),否,混合型基金,偏股混合型基金,614116431.0,15.290410958904,4.94,90.479001193606
21,519113.OF,浦银安盛精致生活,胡攸乔,段福印(20090604-20100626) 林峰(20090604-20110505) 吴勇(20110505-20230303) 胡攸乔(20230303-至今),否,混合型基金,灵活配置型基金,226145853.9,14.156164383562,2.71,90.69152203621
22,519115.OF,浦银安盛红利精选混合A,杨富麟,方毅(20091203-20100722) 吴勇(20100414-20160114) 陈蔚丰(20160114-20210726) 杨富麟(20210726-至今),否,混合型基金,偏股混合型基金,629784803.06,13.657534246575,92.05,71.055424215009
23,519120.OF,浦银安盛新兴产业混合A,李浩玄,吴勇(20130325-20230303) 李浩玄(20230303-至今),否,混合型基金,灵活配置型基金,198522453.49,10.347945205479,0.22,91.646200712906
24,519125.OF,浦银安盛消费升级混合A,杨富麟,吴勇(20131204-20180129) 杨岳斌(20180129-20210129) 杨富麟(20201203-至今),否,混合型基金,灵活配置型基金,232888278.62,9.6520547945205,83.16,82.269441348066
25,519126.OF,浦银安盛新经济结构混合A,蒋佳良,蒋建伟(20140520-20160114) 褚艳辉(20140728-20181101) 蒋佳良(20181101-至今),否,混合型基金,灵活配置型基金,606694659.12,9.1945205479452,55.68,81.546578908595
26,519127.OF,浦银安盛盛世精选混合A,褚艳辉,褚艳辉(20140626-至今),否,混合型基金,灵活配置型基金,100554204.14,9.0931506849315,0.52,23.432310009881
27,519130.OF,海富通新内需混合A,"陈林海,杨宁嘉",宋争林(20141127-20141217) 顾晓飞(20141212-20160225) 陈甄璞(20150429-20160622) 谈云飞(20150429-20200102) 杜晓海(20160622-20201023) 张靖爽(20190509-20221201) 朱斌全(20201029-20220809) 陈林海(20220809-至今) 杨宁嘉(20221202-至今),否,混合型基金,灵活配置型基金,26442235.38,8.6712328767123,65.62,88.37230427577
28,519133.OF,海富通改革驱动混合,周雪军,周雪军(20160428-至今),否,混合型基金,灵活配置型基金,6915882609.41,7.2520547945205,82.19,93.887802579254
29,519139.OF,海富通沪港深混合,高峥,张炳炜(20161111-20180801) 王智慧(20161130-20210706) 高峥(20170828-至今) 周雪军(20181214-20220817),否,混合型基金,灵活配置型基金,64723329.29,6.7123287671233,97.05,92.3461228163
30,519150.OF,新华优选消费混合,蔡春红,崔建波(20120613-20200522) 孔雪梅(20131112-20150520) 张霖(20160701-20180107) 刘晓晨(20180112-20201012) 付伟(20201012-20210903) 蔡春红(20210903-至今),否,混合型基金,偏股混合型基金,378771769.83,11.128767123288,54.32,93.115495941837
31,519156.OF,新华行业轮换灵活配置混合A,赵强,何潇(20130605-20140715) 孔雪梅(20140613-20150615) 李会忠(20150611-20170706) 栾江伟(20150707-20180528) 崔建波(20180517-20200522) 钟俊(20190927-20201012) 赵强(20200526-至今) 申峰旗(20201014-20210527),否,混合型基金,灵活配置型基金,520731943.95,10.150684931507,31.92,94.374942747768
32,519157.OF,新华行业轮换灵活配置混合C,赵强,李会忠(20150801-20170706) 栾江伟(20150801-20180528) 崔建波(20180517-20200522) 钟俊(20190927-20201012) 赵强(20200526-至今) 申峰旗(20201014-20210527),否,混合型基金,灵活配置型基金,58744805.71,7.9945205479452,93.65,94.374942747768
33,519158.OF,新华趋势领航混合,赵强,崔建波(20130911-20200522) 蔡春红(20160713-20200928) 栾超(20200526-20221026) 申峰旗(20210104-20210601) 赵强(20221025-至今),否,混合型基金,偏股混合型基金,373488431.15,9.8821917808219,60.86,94.631554075086
34,519165.OF,新华鑫利灵活配置混合,曹巍浩,曹名长(20140423-20150520) 李会忠(20141226-20190403) 王浩(20190325-20200402) 王滨(20200226-20210519) 曹巍浩(20210519-至今),否,混合型基金,灵活配置型基金,4787697.22,9.2684931506849,,22.535831451923
35,519170.OF,浦银安盛增长动力混合A,杨富麟,蒋建伟(20150312-20200713) 陈蔚丰(20200713-20210726) 吴勇(20210726-20230303) 杨富麟(20230303-至今),否,混合型基金,灵活配置型基金,797356200.2,8.3835616438356,0.09,85.425604985538
36,519171.OF,浦银安盛医疗健康混合A,胡攸乔,陈蔚丰(20150525-20210726) 胡攸乔(20201203-至今),否,混合型基金,灵活配置型基金,623103028.77,8.1808219178082,37.57,92.499385656868
37,519172.OF,浦银安盛睿智精选混合A,秦闻,吴勇(20160203-20180129) 杨岳斌(20180129-20210129) 秦闻(20201230-至今),否,混合型基金,灵活配置型基金,35993393.92,7.4849315068493,29.91,89.039339826568
38,519173.OF,浦银安盛睿智精选混合C,秦闻,吴勇(20160203-20180129) 杨岳斌(20180129-20210129) 秦闻(20201230-至今),否,混合型基金,灵活配置型基金,20062031.17,7.4849315068493,,89.039339826568
39,519175.OF,浦银经济带崛起混合A,褚艳辉,褚艳辉(20170207-至今),否,混合型基金,灵活配置型基金,36624190.64,6.4712328767123,64.37,23.037739359139
40,519176.OF,浦银安盛消费升级混合C,杨富麟,吴勇(20160121-20180129) 杨岳斌(20180129-20210129) 杨富麟(20201203-至今),否,混合型基金,灵活配置型基金,531361510.95,7.5205479452055,84.6,82.269441348066
41,519177.OF,浦银安盛盛世精选混合C,褚艳辉,褚艳辉(20151120-至今),否,混合型基金,灵活配置型基金,94362754.69,7.6904109589041,,23.432310009881
42,519181.OF,万家和谐增长混合A,"莫海波,刘林峰",路志刚(20061201-20080927) 李洪雨(20080927-20100626) 鞠英利(20100626-20110706) 宁冬莉(20110603-20130831) 吕宜振(20110930-20130104) 华光磊(20130104-20150522) 刘芳洁(20130601-20141114) 莫海波(20150506-至今) 刘林峰(20220621-至今),否,混合型基金,灵活配置型基金,684524724.21,16.668493150685,6.37,91.276373682969
43,519183.OF,万家双引擎灵活配置混合,叶勇,欧庆铃(20080627-20090804) 鞠英利(20090304-20100703) 吴印(20100703-20130808) 朱颖(20120204-20150212) 华光磊(20130808-20150522) 高翰昆(20150505-20180815) 陈佳昀(20180815-20190909) 叶勇(20180824-至今),否,混合型基金,灵活配置型基金,396695913.51,15.093150684932,0.07,93.915456490785
44,519185.OF,万家精选混合A,黄海,欧庆铃(20090518-20110813) 马云飞(20110806-20130525) 吴印(20120204-20141008) 华光磊(20141008-20150522) 章恒(20141104-20160123) 莫海波(20150506-20201117) 李文宾(20170624-20191030) 孙远慧(20191030-20201117) 黄海(20200923-至今),否,混合型基金,偏股混合型基金,705568875.38,14.202739726027,6.54,93.561533550592
45,519191.OF,万家新利,黄海,朱虹(20140124-20140524) 苏谋东(20140524-20151224) 高翰昆(20141201-20170624) 莫海波(20151224-20200310) 李文宾(20170624-20191030) 孙远慧(20191030-20201117) 黄海(20200923-至今),否,混合型基金,灵活配置型基金,786465514.77,9.5123287671233,11.73,92.706890828152
46,519195.OF,万家品质生活A,莫海波,莫海波(20150806-至今),否,混合型基金,灵活配置型基金,3513093274.57,7.9808219178082,70.45,89.960791043367
47,519196.OF,万家新兴蓝筹,莫海波,莫海波(20160126-至今),否,混合型基金,灵活配置型基金,2131734453.65,7.5068493150685,39.91,93.051564736654
48,519197.OF,万家颐达灵活配置混合,乔亮,苏谋东(20190611-20191212) 陈奕雯(20191212-20221206) 章恒(20220622-20230726) 乔亮(20230224-至今),否,混合型基金,灵活配置型基金,719320535.8,4.1315068493151,94.67,44.217740619942
49,519198.OF,万家颐和灵活配置混合A,章恒,苏谋东(20190629-20191227) 束金伟(20191227-20210126) 章恒(20200514-至今),否,混合型基金,灵活配置型基金,933655770.21,4.0821917808219,37.23,93.256171533606
50,519212.OF,万家宏观择时多策略A,黄海,莫海波(20170330-20191205) 孙远慧(20191030-20201117) 黄海(20200923-至今),否,混合型基金,灵活配置型基金,1260858725.28,6.3315068493151,11.8,93.542543986711
51,519221.OF,海富通欣益混合C,朱斌全,谈云飞(20160907-20191015) 陈甄璞(20160907-20180503) 夏妍妍(20180105-20230119) 杜晓海(20180409-20191015) 朱斌全(20191015-至今),否,混合型基金,灵活配置型基金,12176206.65,6.8904109589041,,31.648339362442
52,519222.OF,海富通欣益混合A,朱斌全,谈云飞(20160907-20191015) 陈甄璞(20160907-20180503) 夏妍妍(20180105-20230119) 杜晓海(20180409-20191015) 朱斌全(20191015-至今),否,混合型基金,灵活配置型基金,21962258.02,6.8904109589041,3.34,31.648339362442
53,519223.OF,海富通欣荣混合C,杜晓海,谈云飞(20160922-20200102) 杜晓海(20160928-至今),否,混合型基金,灵活配置型基金,174182529.86,6.8493150684932,78.17,92.503063322516
54,519224.OF,海富通欣荣混合A,杜晓海,谈云飞(20160922-20200102) 杜晓海(20160928-至今),否,混合型基金,灵活配置型基金,540479575.59,6.8493150684932,98.09,92.503063322516
55,519228.OF,海富通欣享混合C,"谈云飞,朱斌全",谈云飞(20170310-至今) 陈甄璞(20170322-20180503) 杜晓海(20180409-20201023) 朱斌全(20201029-至今),否,混合型基金,灵活配置型基金,30828810.37,6.386301369863,85.1,16.291742581574
56,519229.OF,海富通欣享混合A,"谈云飞,朱斌全",谈云飞(20170310-至今) 陈甄璞(20170322-20180503) 杜晓海(20180409-20201023) 朱斌全(20201029-至今),否,混合型基金,灵活配置型基金,185160809.73,6.386301369863,96.12,16.291742581574
57,519601.OF,海富通中国海外混合(QDII),高峥,陈洪(20080627-20110214) 杨铭(20100113-20160204) 张炳炜(20160204-20180801) 卜正伦(20160816-20180930) 高峥(20180921-至今) 陶意非(20190130-20230329),否,QDII基金,QDII混合型基金,48808325.55,15.093150684932,19.41,94.541049268273
58,519613.OF,银河君尚混合A,"卢轶乔,罗博,刘铭",杨鑫(20160817-20170429) 韩晶(20160817-20171214) 罗博(20161231-至今) 刘铭(20170429-至今) 卢轶乔(20171014-至今) 韩晶(20190801-20200819),否,混合型基金,灵活配置型基金,11957753.11,6.9479452054795,90.26,38.974862547729
59,519614.OF,银河君尚混合C,"罗博,卢轶乔,刘铭",杨鑫(20160817-20170429) 韩晶(20160817-20171214) 罗博(20161231-至今) 刘铭(20170429-至今) 卢轶乔(20171014-至今) 韩晶(20190801-20200819),否,混合型基金,灵活配置型基金,38884398.47,6.9479452054795,41.85,38.974862547729
60,519615.OF,银河君尚混合I,"卢轶乔,罗博,刘铭",杨鑫(20160817-20170429) 韩晶(20160817-20171214) 罗博(20161231-至今) 刘铭(20170429-至今) 卢轶乔(20171014-至今) 韩晶(20190801-20200819),否,混合型基金,灵活配置型基金,0.0,6.9479452054795,100.0,38.974862547729
61,519616.OF,银河君信混合A,"刘铭,石磊",杨鑫(20160907-20170429) 韩晶(20160907-20171214) 杨琪(20170107-20190705) 刘铭(20170429-至今) 石磊(20190705-至今),否,混合型基金,灵活配置型基金,10088668.59,6.8904109589041,61.96,21.624354876141
62,519617.OF,银河君信混合C,"石磊,刘铭",杨鑫(20160907-20170429) 韩晶(20160907-20171214) 杨琪(20170107-20190705) 刘铭(20170429-至今) 石磊(20190705-至今),否,混合型基金,灵活配置型基金,16343461.27,6.8904109589041,4.15,21.624354876141
63,519618.OF,银河君信混合I,"石磊,刘铭",杨鑫(20160907-20170429) 韩晶(20160907-20171214) 杨琪(20170107-20190705) 刘铭(20170429-至今) 石磊(20190705-至今),否,混合型基金,灵活配置型基金,144442631.98,6.8904109589041,100.0,21.624354876141
64,519619.OF,银河君荣混合A,刘铭,杨鑫(20160905-20170429) 韩晶(20160905-20171214) 袁曦(20161231-20180913) 刘铭(20170429-至今),否,混合型基金,灵活配置型基金,1247176.5,6.8958904109589,,90.223037370041
65,519620.OF,银河君荣混合C,刘铭,杨鑫(20160905-20170429) 韩晶(20160905-20171214) 袁曦(20161231-20180913) 刘铭(20170429-至今),否,混合型基金,灵活配置型基金,2701335.61,6.8958904109589,3.98,90.223037370041
66,519621.OF,银河君荣混合I,刘铭,杨鑫(20160905-20170429) 韩晶(20160905-20171214) 袁曦(20161231-20180913) 刘铭(20170429-至今),否,混合型基金,灵活配置型基金,60385602.51,6.8958904109589,100.0,90.223037370041
67,519623.OF,银河君耀混合A,"刘铭,祝建辉",杨鑫(20161118-20170429) 韩晶(20161118-20180202) 刘铭(20170429-至今) 杨琪(20170701-20211216) 祝建辉(20211216-至今),否,混合型基金,灵活配置型基金,239369994.27,6.6931506849315,99.78,20.448686701409
68,519624.OF,银河君耀混合C,"刘铭,祝建辉",杨鑫(20161118-20170429) 韩晶(20161118-20180202) 刘铭(20170429-至今) 杨琪(20170701-20211216) 祝建辉(20211216-至今),否,混合型基金,灵活配置型基金,593791.66,6.6931506849315,,20.448686701409
69,519625.OF,银河君盛混合A,"刘铭,卢轶乔",杨鑫(20161209-20170429) 韩晶(20161209-20180202) 楼华锋(20161231-20190816) 刘铭(20170429-至今) 卢轶乔(20170712-至今),否,混合型基金,灵活配置型基金,250963414.13,6.6356164383562,99.83,30.147160406735
70,519626.OF,银河君盛混合C,"卢轶乔,刘铭",杨鑫(20161209-20170429) 韩晶(20161209-20180202) 楼华锋(20161231-20190816) 刘铭(20170429-至今) 卢轶乔(20170712-至今),否,混合型基金,灵活配置型基金,101091795.15,6.6356164383562,95.84,30.147160406735
71,519627.OF,银河君润混合A,"刘铭,祝建辉",杨鑫(20161227-20170429) 韩晶(20161227-20181221) 刘铭(20170429-至今) 余科苗(20180323-20210506) 祝建辉(20210506-至今),否,混合型基金,灵活配置型基金,549351250.53,6.586301369863,98.82,22.430144154536
72,519628.OF,银河君润混合C,"刘铭,祝建辉",杨鑫(20161227-20170429) 韩晶(20161227-20181221) 刘铭(20170429-至今) 余科苗(20180323-20210506) 祝建辉(20210506-至今),否,混合型基金,灵活配置型基金,4712615.79,6.586301369863,,22.430144154536
73,519642.OF,银河智造混合A,鲍武斌,张杨(20160311-20230331) 鲍武斌(20230331-至今),否,混合型基金,灵活配置型基金,131789583.95,7.3835616438356,,91.571996871917
74,519644.OF,银河智联混合A,郑巍山,神玉飞(20151217-20220317) 郑巍山(20220317-至今),否,混合型基金,灵活配置型基金,1281348090.31,7.6164383561644,2.35,89.419966706372
75,519646.OF,银河鑫利混合I,"卢轶乔,刘铭,鲍武斌",杨鑫(20151116-20170429) 韩晶(20151116-20170729) 卢轶乔(20170429-至今) 刘铭(20170429-至今) 陈伯祯(20191029-20211112) 鲍武斌(20220318-至今),否,混合型基金,灵活配置型基金,0.0,7.7013698630137,,26.153675380437
76,519651.OF,银河转型混合A,杨琪,卢轶乔(20150512-20161229) 王海华(20161229-20190219) 杨琪(20190219-至今) 陈伯祯(20200206-20211027),否,混合型基金,灵活配置型基金,381798623.03,8.2164383561644,,84.25059469004
77,519652.OF,银河鑫利混合A,"卢轶乔,刘铭,鲍武斌",韩晶(20150422-20170729) 杨鑫(20150611-20170429) 卢轶乔(20170429-至今) 刘铭(20170429-至今) 陈伯祯(20191029-20211112) 鲍武斌(20220318-至今),否,混合型基金,灵活配置型基金,255307279.0,8.2712328767123,89.6,26.153675380437
78,519653.OF,银河鑫利混合C,"卢轶乔,刘铭,鲍武斌",韩晶(20150422-20170729) 杨鑫(20150611-20170429) 卢轶乔(20170429-至今) 刘铭(20170429-至今) 陈伯祯(20191029-20211112) 鲍武斌(20220318-至今),否,混合型基金,灵活配置型基金,1703733.25,8.2712328767123,,26.153675380437
79,519655.OF,银河服务混合A,"卢轶乔,施文琪",钱睿南(20150422-20210312) 王海华(20210305-20220322) 卢轶乔(20220322-至今) 施文琪(20220705-至今),否,混合型基金,灵活配置型基金,295339090.56,8.2712328767123,0.03,87.878600995677
80,519656.OF,银河灵活配置混合A,石磊,徐小勇(20140211-20150623) 钱睿南(20150624-20160725) 祝建辉(20151228-20190422) 石磊(20190422-至今),否,混合型基金,灵活配置型基金,37178218.88,9.4630136986301,15.53,72.679099106511
81,519657.OF,银河灵活配置混合C,石磊,徐小勇(20140211-20150623) 钱睿南(20150624-20160725) 祝建辉(20151228-20190422) 石磊(20190422-至今),否,混合型基金,灵活配置型基金,30078630.57,9.4630136986301,0.0,72.679099106511
82,519664.OF,银河美丽混合A,杨琪,成胜(20140529-20150612) 张杨(20140529-20170408) 杨琪(20170408-至今),否,混合型基金,偏股混合型基金,217216871.32,9.1698630136986,0.0,93.910889689194
83,519665.OF,银河美丽混合C,杨琪,成胜(20140529-20150612) 张杨(20140529-20170408) 杨琪(20170408-至今),否,混合型基金,偏股混合型基金,64505204.15,9.1698630136986,,93.910889689194
84,519668.OF,银河成长混合,祝建辉,李昇(20080526-20090807) 孙振峰(20090716-20111101) 丁杰人(20111010-20131113) 王培(20131030-20160201) 钱睿南(20160201-20170408) 祝建辉(20160201-至今),否,混合型基金,偏股混合型基金,192749658.51,15.180821917808,0.13,87.879299456683
85,519670.OF,银河行业混合A,袁曦,王忠波(20090424-20101019) 陈欣(20091216-20110604) 成胜(20100916-20150522) 王海华(20131204-20220322) 鲍武斌(20220322-20230331) 张杨(20220322-20230331) 袁曦(20230331-至今),否,混合型基金,偏股混合型基金,898840172.55,14.268493150685,0.08,92.861675387847
86,519672.OF,银河蓝筹混合A,袁曦,徐小勇(20100716-20150623) 孙振峰(20100716-20111101) 王海华(20150624-20160726) 袁曦(20151228-至今),否,混合型基金,偏股混合型基金,545783002.41,13.041095890411,23.61,93.503482733557
87,519674.OF,银河创新混合A,郑巍山,钱睿南(20101229-20120319) 王培(20110603-20160202) 神玉飞(20160202-20170408) 袁曦(20160202-20190511) 郑巍山(20190511-至今),否,混合型基金,偏股混合型基金,13433299794.47,12.586301369863,1.13,92.479518511653
88,519678.OF,银河消费混合A,卢轶乔,刘风华(20110729-20130228) 卢轶乔(20121221-至今),否,混合型基金,偏股混合型基金,96559657.53,12.005479452055,17.82,83.682973849151
89,519679.OF,银河主题混合A,祝建辉,成胜(20120921-20150522) 王培(20150522-20160201) 张杨(20160201-20230331) 祝建辉(20230331-至今),否,混合型基金,偏股混合型基金,473587863.55,10.854794520548,16.28,88.499304749301
90,519688.OF,交银精选混合,"王崇,张雪蓉",赵枫(20050929-20080128) 李立(20070425-20120508) 管华雨(20120313-20130426) 张鸿羽(20120420-20141022) 曹文俊(20141022-20170613) 王崇(20170603-至今) 张雪蓉(20230107-至今),否,混合型基金,偏股混合型基金,6442432862.22,17.838356164384,5.37,79.451543672172
91,519690.OF,交银稳健配置混合,陈孜铎,李旭利(20060614-20070704) 郑拓(20070704-20090821) 李立(20090821-20101231) 华昕(20090910-20110804) 张科兵(20110719-20140110) 唐倩(20131212-20180728) 陈孜铎(20180704-至今),否,混合型基金,灵活配置型基金,1532943859.19,17.131506849315,1.54,79.304964546765
92,519692.OF,交银成长混合A,王少成,周炜炜(20061023-20101020) 管华雨(20101008-20150324) 王少成(20150324-至今),否,混合型基金,偏股混合型基金,2039469747.86,16.772602739726,1.94,80.90353021782
93,519694.OF,交银蓝筹混合,王少成,李旭利(20070808-20090527) 崔海峰(20080901-20100604) 张媚钗(20100604-20141022) 李德亮(20141022-20150829) 陈孜铎(20141022-20190129) 张迎军(20141022-20150711) 王少成(20180928-至今),否,混合型基金,偏股混合型基金,1390549881.46,15.980821917808,2.35,81.137555856991
94,519696.OF,交银环球精选混合(QDII),"周中,陈俊华,陈舒薇",郑伟辉(20080822-20130305) 饶超(20120409-20140124) 晏青(20120409-20150422) 蔡铮(20150422-20170325) 陈俊华(20151121-至今) 周中(20151212-至今) 陈舒薇(20200108-至今),否,QDII基金,QDII混合型基金,79483636.75,14.939726027397,24.57,92.821772142657
95,519697.OF,交银优势行业混合,何帅,张迎军(20090121-20150711) 何帅(20150709-至今),否,混合型基金,灵活配置型基金,5475043659.74,14.523287671233,0.95,77.218309255862
96,519698.OF,交银先锋混合A,封晴,史伟(20090410-20130607) 王少成(20130529-20150815) 芮晨(20150518-20200715) 封晴(20200703-至今),否,混合型基金,偏股混合型基金,604224960.5,14.306849315068,22.31,85.461792149742
97,519700.OF,交银主题优选混合A,沈楠,史伟(20100630-20130607) 李永兴(20120320-20150601) 沈楠(20150505-至今),否,混合型基金,灵活配置型基金,2008754538.25,13.084931506849,59.36,73.605588837329
98,519702.OF,交银趋势混合A,杨金金,管华雨(20101222-20120313) 张迎军(20110503-20130903) 管华雨(20130808-20141022) 曹文俊(20130808-20170613) 韩威俊(20170603-20200527) 杨金金(20200506-至今),否,混合型基金,偏股混合型基金,7040635881.55,12.605479452055,43.7,81.361360635146
99,519704.OF,交银先进制造混合A,刘鹏,黄义志(20110622-20120810) 张科兵(20120313-20130426) 王少成(20130321-20150815) 任相栋(20150121-20180623) 刘鹏(20180529-至今),否,混合型基金,偏股混合型基金,6945129079.15,12.106849315068,45.88,79.536748401609
100,519710.OF,交银策略回报混合,韩威俊,项廷锋(20120620-20151007) 李娜(20151007-20151107) 王少成(20151107-20180608) 韩威俊(20160120-至今),否,混合型基金,灵活配置型基金,637316197.81,11.109589041096,55.92,72.717654420688
101,519712.OF,交银阿尔法核心混合A,何帅,龙向东(20120803-20150926) 何帅(20150916-至今),否,混合型基金,偏股混合型基金,5495697536.39,10.98904109589,6.63,85.912355457719
102,519727.OF,交银成长30混合,郭斐,管华雨(20130605-20141022) 王少成(20130702-20190618) 郭斐(20170926-至今),否,混合型基金,偏股混合型基金,1047558767.46,10.150684931507,0.3,65.11418401434
103,519732.OF,交银定期支付双息平衡混合,黄鼎,李德亮(20130904-20150829) 张迎军(20130904-20150711) 项廷锋(20130904-20141219) 杨浩(20150815-20220908) 黄鼎(20210929-至今),否,混合型基金,股债平衡型基金,4241423395.27,9.9013698630137,0.08,69.675471305986
