,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund
30,166020.OF,中欧成长优选混合A,"曹名长,沈悦",苟开红(20130821-20150320) 庄波(20150320-20171130) 张燕(20150525-20161117) 孙甜(20150618-20160701) 袁维德(20161228-20220211) 曹名长(20171130-至今) 沈悦(20200512-至今),否,混合型基金,灵活配置型基金,597270292.21,10.115068493151,,92.624638755546
33,166301.OF,华商新趋势优选灵活配置混合,周海栋,田明圣(20120906-20131230) 路阳(20131230-20140610) 费鹏(20140610-20151008) 周海栋(20150514-至今),否,混合型基金,灵活配置型基金,12909758926.4,11.071232876712,,92.073454216659
38,180010.OF,银华优质增长混合,贲兴振,蒋伯龙(20060609-20080712) 况群峰(20060914-20110913) 郭建兴(20110902-20160708) 王华(20160708-20170804) 贲兴振(20161102-至今),否,混合型基金,偏股混合型基金,1771351691.54,17.320547945205,,88.503721347794
39,180012.OF,银华富裕主题混合A,焦巍,王华(20061116-20131104) 黄颖(20130225-20140425) 周可彦(20131022-20181227) 焦巍(20181227-至今),否,混合型基金,偏股混合型基金,13282717199.7,16.882191780822,,93.690153579146
40,180013.OF,银华领先策略混合,"倪明,苏静然,向伊达",况群峰(20080820-20090930) 万志勇(20081023-20091111) 杨靖(20090929-20120413) 刘春雨(20120411-20150506) 倪明(20150506-至今) 苏静然(20171030-至今) 向伊达(20220802-至今),否,混合型基金,偏股混合型基金,419994295.08,15.120547945205,,91.161760639408
41,180018.OF,银华和谐主题混合,唐能,陆文俊(20090427-20130830) 万志勇(20090601-20100619) 周晶(20130225-20150506) 周可彦(20150506-20181227) 唐能(20150525-至今),否,混合型基金,灵活配置型基金,270109328.92,14.435616438356,,79.320725232506
43,180028.OF,银华永祥灵活配置混合,"贾鹏,孙慧,郭思捷",贾鹏(20170808-至今) 孙慧(20170808-至今) 郭思捷(20200729-至今),否,混合型基金,灵活配置型基金,70635290.75,6.1479452054795,,76.545164358936
44,180031.OF,银华中小盘混合,"张萍,杜宇,李晓星",廖平(20120620-20130806) 金斌(20120620-20130719) 王华(20130806-20160708) 李晓星(20150707-至今) 张萍(20181106-至今) 杜宇(20191211-至今),否,混合型基金,偏股混合型基金,3204521873.32,11.284931506849,,91.203890435363
45,200001.OF,长城久恒灵活配置混合A,储雯玉,韩浩(20031031-20050329) 杨军(20031031-20050329) 韩刚(20050329-20060225) 杨毅平(20060225-20070412) 李硕(20071113-20100225) 阮涛(20100224-20111209) 王文祥(20111019-20140311) 吴文庆(20131226-20170316) 马强(20150624-20170316) 储雯玉(20170316-至今),否,混合型基金,灵活配置型基金,70589225.08,19.928767123288,,94.458134353718
46,200006.OF,长城消费增值混合A,龙宇飞,杨军(20060406-20100123) 刘颖芳(20100122-20150318) 蒋劲刚(20100122-20120307) 吴文庆(20150127-20160301) 郑帮强(20160121-20180803) 龙宇飞(20171018-至今),否,混合型基金,偏股混合型基金,548274509.07,17.495890410959,,90.450216069691
48,200008.OF,长城品牌优选混合A,杨建华,杨毅平(20070806-20130617) 杨建华(20130618-至今),否,混合型基金,偏股混合型基金,1442000812.84,16.161643835616,,84.398189278624
55,202003.OF,南方绩优成长混合A,"史博,骆帅",苏彦祝(20061116-20100212) 谈建强(20061209-20080604) 张原(20100212-20161014) 史博(20110217-至今) 骆帅(20161228-至今),否,混合型基金,偏股混合型基金,4088020260.71,16.882191780822,,69.916406486981
56,202005.OF,南方成份精选混合A,黄春逢,王黎敏(20070517-20080112) 应帅(20070720-20121123) 张慎平(20080410-20110217) 陈键(20101016-20160126) 张原(20151230-20210820) 黄春逢(20151230-至今),否,混合型基金,偏股混合型基金,2112568563.44,16.391780821918,,91.141724487803
57,202007.OF,南方隆元产业主题混合,蒋秋洁,吕一凡(20071114-20080414) 汪澂(20080411-20131114) 蒋朋宸(20080414-20140117) 彭砚(20140117-20150724) 蒋秋洁(20150724-至今),否,混合型基金,偏股混合型基金,985069936.07,15.901369863014,,72.762513922572
59,202011.OF,南方优选价值混合A,罗安安,谈建强(20080618-20150710) 骆帅(20150619-20190125) 罗安安(20150710-至今),否,混合型基金,偏股混合型基金,958716956.12,15.293150684932,,94.106038066816
61,202023.OF,南方优选成长混合A,骆帅,谈建强(20110130-20150710) 骆帅(20150619-至今),否,混合型基金,灵活配置型基金,2916772950.48,12.67397260274,,74.526234473463
64,202212.OF,南方平衡配置混合,"邹寅隆,黄春逢",黄春逢(20170715-至今) 邹寅隆(20210604-至今),否,混合型基金,灵活配置型基金,181168889.48,6.213698630137,,76.279377881408
70,206009.OF,鹏华新兴产业混合,梁浩,陈鹏(20110615-20130316) 梁浩(20110714-至今),否,混合型基金,偏股混合型基金,3370696264.1,12.301369863014,,92.767990281821
74,210003.OF,金鹰行业优势混合A,倪超,彭培祥(20090701-20120726) 冯文光(20110330-20130410) 何晓春(20120726-20160615) 倪超(20150611-至今),否,混合型基金,偏股混合型基金,409679108.55,14.257534246575,,86.074689469827
79,210008.OF,金鹰策略配置混合,韩广哲,杨绍基(20110901-20130410) 陈晓(20121103-20140930) 方超(20140930-20171023) 陈颖(20170919-20191204) 韩广哲(20191030-至今),否,混合型基金,偏股混合型基金,585271756.3,12.087671232877,,93.510641873425
80,210009.OF,金鹰核心资源混合A,陈颖,冯文光(20120523-20141119) 陈晓(20121103-20140930) 冼鸿鹏(20140930-20171108) 杨刚(20141119-20151224) 于利强(20171101-20190327) 陈颖(20190126-至今),否,混合型基金,偏股混合型基金,675454991.35,11.361643835616,,94.347487867704
85,213003.OF,宝盈策略增长混合,朱建明,赵龙(20070120-20090619) 陆万山(20090613-20090701) 盛军锋(20090701-20110419) 余述胜(20090701-20140218) 王茹远(20130801-20141017) 彭敢(20140926-20170126) 李进(20161015-20180224) 朱建明(20170105-20180224) 刘李杰(20170919-20200425) 蔡丹(20180224-20211203) 朱建明(20190330-至今),否,混合型基金,偏股混合型基金,940413080.8,16.706849315068,,92.873399949628
91,217009.OF,招商核心价值混合,郭锐,张冰(20070330-20110728) 程国发(20070330-20080320) 黄顺祥(20080403-20090624) 张力(20090827-20111221) 赵龙(20111125-20140129) 吴渭(20140129-20150228) 郭锐(20150210-至今),否,混合型基金,灵活配置型基金,684950117.22,16.515068493151,,88.324994766836
92,217010.OF,招商大盘蓝筹混合,郭锐,游海(20080619-20100715) 黄顺祥(20080619-20090624) 周德昕(20100715-20120120) 刘军(20100824-20120529) 袁野(20120120-20131019) 陈玉辉(20121114-20150411) 郭锐(20150401-至今) 张林(20150722-20161231),否,混合型基金,偏股混合型基金,570346915.53,15.290410958904,,90.37539415305
93,217012.OF,招商行业领先混合A,吴昊,涂冰云(20090619-20111214) 张慎平(20111214-20140613) 王忠波(20140613-20150725) 吴昊(20141031-至今),否,混合型基金,偏股混合型基金,241308689.97,14.290410958904,,70.031298570727
94,217013.OF,招商中小盘混合,韩冰,周德昕(20091225-20120411) 张力(20091225-20111221) 吴昊(20120411-20150508) 吴渭(20131221-20150228) 韩冰(20150505-至今) 孙振峰(20160120-20170311) 张西林(20170413-20190322),否,混合型基金,偏股混合型基金,218652995.87,13.772602739726,,83.797592029764
95,217020.OF,招商安达灵活配置混合,王奇玮,贾成东(20171010-20171130) 张韵(20171010-20171227) 滕越(20171010-20190322) 王奇玮(20171130-至今),否,混合型基金,灵活配置型基金,107205306.37,5.9753424657534,,78.985021429588
97,229002.OF,宏利逆向策略混合,刘欣,焦云(20120523-20140103) 刘欣(20140103-至今),否,混合型基金,偏股混合型基金,136316713.62,11.361643835616,,92.154270656925
99,233006.OF,大摩领先优势混合,何晓春,项志群(20090922-20100911) 陈晓(20100910-20110919) 徐强(20110919-20120428) 刘红(20120308-20130420) 钱斌(20121215-20140829) 王增财(20140809-20170125) 徐达(20170121-20190917) 何晓春(20190916-至今),否,混合型基金,偏股混合型基金,329975304.84,14.030136986301,,94.740785266214
100,233007.OF,大摩卓越成长混合,王大鹏,何滨(20100518-20110622) 徐强(20110622-20120905) 盛军锋(20120905-20140320) 钱斌(20121215-20140829) 周志超(20140626-20151121) 周宁(20151121-20160716) 袁斌(20160716-20170701) 王大鹏(20170629-至今) 缪东航(20210312-20230206),否,混合型基金,偏股混合型基金,339932871.2,13.378082191781,,89.844170786388
102,233009.OF,大摩多因子策略混合,余斌,张靖(20110517-20140114) 刘钊(20120705-20150812) 杨雨龙(20150626-20170617) 夏青(20170615-20190824) 余斌(20190820-至今),否,混合型基金,偏股混合型基金,675493281.37,12.380821917808,,91.393001349757
103,233011.OF,大摩主题优选混合,缪东航,盛军锋(20120313-20140320) 周志超(20140320-20151121) 王增财(20151121-20170125) 袁斌(20170121-20170701) 缪东航(20170125-至今),否,混合型基金,偏股混合型基金,113290569.44,11.556164383562,,92.665263542169
107,240004.OF,华宝动力组合混合A,刘自强,史伟(20051117-20080319) 刘自强(20080319-至今),否,混合型基金,偏股混合型基金,1436306069.31,17.879452054795,,91.641908628601
109,240008.OF,华宝收益增长混合A,毛文博,冯刚(20060615-20100728) 栾杰(20060615-20070731) 邵喆阳(20100626-20150217) 闫旭(20150217-20190713) 毛文博(20150409-至今),否,混合型基金,灵活配置型基金,714545073.16,17.304109589041,,91.617675003617
115,240022.OF,华宝资源优选A,"丁靖斐,蔡目荣",蔡目荣(20120821-至今) 丁靖斐(20190905-至今),否,混合型基金,偏股混合型基金,1199519423.22,11.115068493151,,85.661440859623
119,257010.OF,国联安小盘精选混合,邹新进,袁柏南(20040412-20040918) 张学军(20040706-20061116) 王轶(20060318-20071128) 吴任昊(20061221-20070904) 吴鹏(20070904-20100316) 邹新进(20100306-至今),否,混合型基金,灵活配置型基金,1151283254.65,19.479452054795,,74.895537584461
120,257020.OF,国联安精选混合,魏东,李洪波(20051228-20091020) 魏东(20090930-至今) 施卫平(20120331-20140109) 刘斌(20140215-20151231),否,混合型基金,偏股混合型基金,892171865.89,17.767123287671,,92.487394575804
122,257040.OF,国联安红利混合,徐俊,冯天戈(20081022-20100527) 吴鹏(20090110-20100316) 傅明笑(20100527-20120529) 施卫平(20120529-20140109) 饶晓鹏(20131231-20150417) 潘明(20150417-20180710) 郑青(20151204-20200525) 徐俊(20190624-至今),否,混合型基金,偏股混合型基金,111607371.66,14.947945205479,,93.533517049406
124,257070.OF,国联安优选行业混合,潘明,王忠波(20110523-20140118) 饶晓鹏(20140109-20150417) 潘明(20140215-至今),否,混合型基金,偏股混合型基金,841969027.59,12.364383561644,,90.893856395234
125,260101.OF,景顺长城优选混合,杨锐文,陈利宏(20031024-20041118) 杨兵兵(20031024-20070915) 曾昭雄(20041118-20050601) 毛从容(20050601-20111230) 涂强(20061122-20090807) 邓春鸣(20070915-20090807) 张继荣(20090807-20120116) 陈嘉平(20120117-20150403) 丛林(20120320-20131030) 杨锐文(20141025-至今),否,混合型基金,偏股混合型基金,4608098184.35,19.947945205479,,77.990487571543
126,260103.OF,景顺长城动力平衡混合,刘苏,陈利宏(20031024-20041118) 杨兵兵(20031024-20070915) 曾昭雄(20041118-20050601) 毛从容(20050601-20140115) 涂强(20061122-20090807) 邓春鸣(20070915-20090807) 张继荣(20090807-20120116) 张继荣(20140116-20150709) 刘彦春(20150710-20161108) 刘苏(20150929-至今),否,混合型基金,灵活配置型基金,1004900914.92,19.947945205479,,69.044476528836
127,260104.OF,景顺长城内需增长混合,刘彦春,孙延群(20040625-20050615) 岑伟昌(20050615-20051216) 李学文(20051216-20070915) 王鹏辉(20070915-20150122) 杨鹏(20100821-20180209) 刘彦春(20180210-至今),否,混合型基金,偏股混合型基金,2596270168.56,19.276712328767,,93.855061877151
128,260108.OF,景顺长城新兴成长混合A,刘彦春,李志嘉(20060628-20100529) 邓春鸣(20100529-20141030) 杨鹏(20141031-20160127) 刘彦春(20150409-至今),否,混合型基金,偏股混合型基金,31393803460.32,17.268493150685,,93.937975799218
129,260109.OF,景顺长城内需贰号混合,刘彦春,李学文(20061011-20070915) 王鹏辉(20070915-20150122) 杨鹏(20100821-20180209) 刘彦春(20180210-至今),否,混合型基金,偏股混合型基金,4277268324.06,16.980821917808,,92.187228899336
134,260116.OF,景顺长城核心竞争力混合A类,余广,余广(20111220-至今) 陈嘉平(20111220-20130911),否,混合型基金,偏股混合型基金,2301806276.64,11.786301369863,,89.783765276241
136,262001.OF,景顺长城大中华混合(QDII)A人民币,周寒颖,谢天翎(20110922-20160622) 黎海威(20160603-20170706) 周寒颖(20160603-至今),否,QDII基金,QDII混合型基金,1138370725.26,12.030136986301,,84.529555677102
139,270005.OF,广发聚丰混合A,邱璟旻,易阳方(20051223-20180202) 傅友兴(20130205-20160223) 白金(20150106-20160223) 李琛(20180202-20200513) 邱璟旻(20180202-至今) 苗宇(20180202-20200513),否,混合型基金,偏股混合型基金,2943535847.05,17.780821917808,,87.271523540057
140,270006.OF,广发策略优选混合,罗洋,何震(20060517-20080213) 冯永欢(20080214-20141208) 李巍(20140317-20190522) 王小松(20141224-20190522) 罗洋(20190522-至今),否,混合型基金,灵活配置型基金,3554531514.25,17.383561643836,,94.234408213335
142,270008.OF,广发核心精选混合,程琨,许雪梅(20080716-20100429) 朱纪刚(20090910-20150217) 李巍(20130909-20150217) 吴兴武(20150217-20200210) 程琨(20181105-至今),否,混合型基金,偏股混合型基金,864348075.95,15.216438356164,,94.785010284143
143,270021.OF,广发聚瑞混合A,费逸,刘明月(20090616-20141224) 王颂(20141224-20171109) 费逸(20170719-至今),否,混合型基金,偏股混合型基金,1573950414.11,14.298630136986,,92.15462117827
145,270025.OF,广发行业领先混合A,程琨,刘晓龙(20101123-20170329) 邱璟旻(20170329-20180806) 刘格菘(20170619-20190531) 李琛(20181017-20200210) 程琨(20190531-至今),否,混合型基金,偏股混合型基金,1287742946.75,12.860273972603,,94.830948846434
146,270028.OF,广发制造业精选混合A,李巍,易阳方(20110920-20130205) 李巍(20110920-至今),否,混合型基金,偏股混合型基金,3656899611.1,12.035616438356,,92.807806355115
147,270041.OF,广发消费品精选混合A,李琛,冯永欢(20120612-20141208) 程琨(20141208-20160223) 李琛(20160223-至今),否,混合型基金,偏股混合型基金,320933224.67,11.306849315068,,80.770704363074
148,270050.OF,广发新经济混合A,邱璟旻,刘明月(20130206-20141224) 李险峰(20141224-20170301) 邱璟旻(20170301-至今),否,混合型基金,偏股混合型基金,938709364.23,10.652054794521,,85.41790470074
150,288002.OF,华夏收入混合,郑煜,梁丰(20051117-20070414) 郭楷泽(20070414-20080519) 赵航(20080519-20090418) 孙建波(20080519-20090418) 郑煜(20090204-至今),否,混合型基金,偏股混合型基金,1875764877.93,17.879452054795,,91.345109104018
156,290011.OF,泰信中小盘精选混合,董季周,柳菁(20111026-20150925) 刘杰(20150317-20200506) 董季周(20190716-至今),否,混合型基金,偏股混合型基金,944091723.1,11.93698630137,,94.439552660453
157,290012.OF,泰信行业精选混合A,董山青,董山青(20150304-至今),否,混合型基金,灵活配置型基金,659539136.65,8.5808219178082,,93.269528911544
165,320003.OF,诺安先锋混合A,杨谷,党开宇(20051219-20060902) 杨谷(20060222-至今) 邹翔(20101014-20150214) 张堃(20200430-20230916),否,混合型基金,偏股混合型基金,4185475745.11,17.791780821918,,79.335433946716
166,320005.OF,诺安价值增长混合,王创练,杨谷(20061121-20071113) 易军(20061121-20070616) 段鹏程(20070616-20080110) 梅律吾(20071113-20091020) 王鹏(20091020-20110317) 刘红辉(20110317-20190122) 周心鹏(20110317-20150404) 刘魁(20140627-20150925) 王创练(20190122-至今),否,混合型基金,偏股混合型基金,1027612473.08,16.868493150685,,82.784148069967
169,320011.OF,诺安中小盘精选混合,韩冬燕,林健标(20100428-20110514) 周心鹏(20101023-20160913) 韩冬燕(20160913-至今),否,混合型基金,偏股混合型基金,1136877416.67,13.432876712329,,84.50076391999
170,320012.OF,诺安主题精选混合,罗春蕾,杨谷(20100915-20150117) 刘魁(20150117-20151121) 罗春蕾(20150926-至今),否,混合型基金,偏股混合型基金,355370875.23,13.049315068493,,85.643423584732
171,320015.OF,诺安行业轮动A,韩冬燕,谢志华(20170623-20190112) 韩冬燕(20170623-至今),否,混合型基金,偏股混合型基金,664241791.07,6.2739726027397,,83.300513073337
175,340007.OF,兴全社会责任混合,季文华,刘兆洋(20080430-20090829) 傅鹏博(20090116-20180321) 董理(20171225-20190402) 董承非(20180622-20190627) 季文华(20190402-至今),否,混合型基金,偏股混合型基金,3498654612.5,15.427397260274,,91.680331508288
191,370027.OF,摩根智选30混合A,李德辉,杜猛(20130306-20150929) 帅虎(20141230-20160318) 孟亮(20150929-20190329) 李德辉(20190329-至今),否,混合型基金,偏股混合型基金,797367978.48,10.575342465753,,79.978232666826
194,375010.OF,摩根中国优势混合A,杜猛,张英辉(20040915-20051011) 吕俊(20040915-20070810) 杨安乐(20070810-20130620) 梁钧(20070810-20081129) 王振州(20081129-20111208) 董红波(20130527-20150216) 乐琪(20150216-20160429) 杨景喻(20150804-20190329) 孟亮(20160429-20190329) 杜猛(20190329-至今),否,混合型基金,灵活配置型基金,2076003659.21,19.052054794521,,83.271920237981
195,377010.OF,摩根阿尔法混合A,李博,吕俊(20051011-20060418) 孙延群(20051115-20090707) 周晓文(20070808-20090917) 王孝德(20090428-20121207) 许运凯(20090917-20101112) 吴鹏(20100716-20120906) 欧宝林(20121126-20140110) 征茂平(20140103-20150216) 蔡晟(20141023-20150925) 李博(20150918-至今),否,混合型基金,偏股混合型基金,858303254.79,17.980821917808,,93.281027536196
196,377016.OF,摩根亚太优势混合(QDII)A,张军,杨逸枫(20071022-20150410) 张军(20080308-至今) 王邦祺(20141230-20161216) 张淑婉(20161216-20210601),否,QDII基金,QDII混合型基金,2436512907.7,15.950684931507,,92.429064933453
199,377240.OF,摩根新兴动力混合A,杜猛,杜猛(20110713-至今),否,混合型基金,偏股混合型基金,4598020010.53,12.224657534247,,85.63381658358
202,378010.OF,摩根成长先锋混合A,倪权生,唐建(20060920-20070517) 赵梓峰(20070320-20110525) 王振州(20071124-20081129) 许运凯(20081227-20111207) 唐倩(20110428-20130708) 罗建辉(20130620-20150130) 吴文哲(20150109-20170116) 张一甫(20170116-20190816) 朱晓龙(20190816-20201218) 倪权生(20191227-至今),否,混合型基金,偏股混合型基金,798254519.13,17.038356164384,,84.701523479311
203,378546.OF,摩根全球天然资源混合(QDII)A,张军,张军(20120326-至今),否,QDII基金,QDII混合型基金,97572691.54,11.520547945205,,92.026150816787
204,379010.OF,摩根中小盘混合A,郭晨,董红波(20090121-20150216) 王振州(20090121-20111208) 郭晨(20150130-至今),否,混合型基金,偏股混合型基金,374326404.28,14.698630136986,,93.710616431403
207,398011.OF,中海分红增利混合,邱红丽,李涛(20050616-20070710) 王雄辉(20070710-20080415) 李延刚(20080415-20090623) 刘文超(20080415-20090521) 陶林健(20090602-20110218) 笪菲(20110218-20141118) 吕晓峰(20110609-20120710) 邱红丽(20141118-至今),否,混合型基金,灵活配置型基金,193655589.71,18.301369863014,,92.859925814325
208,398021.OF,中海能源策略混合,姚晨曦,朱晓明(20070313-20081112) 李延刚(20080110-20090623) 施恒新(20081112-20100505) 陶林健(20100505-20120120) 许定晴(20111214-20150408) 王巍(20130208-20140430) 陈忠(20140930-20150328) 开文明(20150312-20160415) 姚晨曦(20150417-至今),否,混合型基金,灵活配置型基金,1281180117.68,16.561643835616,,85.875926856586
212,398061.OF,中海消费混合A,"何文逸,姚晨曦",骆泽斌(20111109-20150417) 姚晨曦(20150417-至今) 何文逸(20220215-至今),否,混合型基金,偏股混合型基金,289339832.4,11.898630136986,,84.829640949302
213,400001.OF,东方龙混合,许文波,宋炳山(20041125-20060303) 陈光明(20041125-20050327) 杜位移(20060303-20080920) 季雷(20070316-20080920) 于鑫(20080920-20150101) 李坤元(20131011-20141014) 朱晓栋(20150101-20190320) 张洪建(20150101-20160701) 许文波(20190102-至今),否,混合型基金,灵活配置型基金,168768264.15,18.857534246575,,89.478345481934
215,400007.OF,东方策略成长混合,"王然,王芳玲",付勇(20080603-20100212) 于鑫(20080603-20150101) 张洪建(20141215-20160701) 王然(20150504-至今) 郭瑞(20160816-20170913) 王芳玲(20220104-至今),否,混合型基金,偏股混合型基金,142128014.83,15.334246575342,,73.321172792462
216,400011.OF,东方核心动力混合A,盛泽,郑军恒(20090624-20100916) 张岗(20100916-20150430) 朱晓栋(20150430-20180124) 薛子徵(20150430-20190917) 盛泽(20190917-至今),否,混合型基金,偏股混合型基金,230751855.14,14.276712328767,,93.539115365381
218,400015.OF,东方新能源汽车主题混合,李瑞,呼振翼(20111228-20150820) 薛子徵(20150430-20180124) 李瑞(20171215-至今),否,混合型基金,偏股混合型基金,12478196988.42,11.764383561644,,94.519146307318
220,400025.OF,东方新兴成长混合,王然,呼振翼(20140903-20150820) 王然(20150625-至今),否,混合型基金,灵活配置型基金,139635771.9,9.0794520547945,,90.959744334682
223,410003.OF,华富成长趋势混合,陈启明,赵密(20070319-20070719) 林树财(20070403-20070512) 沈雪峰(20070512-20080517) 吴圣涛(20080308-20090918) 陈德义(20090908-20130116) 龚炜(20121221-20190717) 王光力(20131018-20150511) 王翔(20150511-20170314) 陈启明(20170314-至今),否,混合型基金,偏股混合型基金,1002928363.49,16.545205479452,,86.208467305813
224,410006.OF,华富策略精选混合A,高靖瑜,鞠柏辉(20081224-20100909) 季雷(20081226-20111214) 崔健(20100827-20120109) 陈德义(20120109-20130116) 郭晨(20121219-20140220) 刘文正(20130607-20150527) 高靖瑜(20141215-20160112) 翁海波(20151225-20170509) 高靖瑜(20170509-至今),否,混合型基金,灵活配置型基金,9455970.23,14.775342465753,,79.633605062565
225,410007.OF,华富价值增长混合,陈启明,季雷(20090715-20110125) 韩玮(20090804-20110124) 郭锋(20101227-20121219) 郭晨(20121219-20141009) 陈启明(20140926-至今),否,混合型基金,灵活配置型基金,779688373.47,14.219178082192,,79.149330810657
227,420001.OF,天弘精选混合A,"赵鼎龙,于洋,谷琦彬,周楷宁",陈天丰(20051008-20060419) 王国强(20060419-20070727) 许利明(20070727-20090330) 徐正国(20090317-20110314) 吕宜振(20090317-20110426) 高喜阳(20110407-20130607) 周可彦(20110714-20130116) 钱文成(20130116-20200624) 肖志刚(20130918-20160222) 程桯(20150805-20180927) 姜晓丽(20160714-20191218) 谷琦彬(20180504-至今) 赵鼎龙(20191115-至今) 周楷宁(20200115-至今) 于洋(20200612-至今),否,混合型基金,灵活配置型基金,486198960.62,17.98904109589,,75.596280350393
228,420003.OF,天弘永定价值成长混合A,"刘国江,于洋",马志强(20081202-20110323) 吕宜振(20090404-20100416) 徐正国(20110316-20120324) 李蕴炜(20120110-20140129) 肖志刚(20140129-20190824) 田俊维(20190803-20210519) 于洋(20190817-至今) 刘国江(20210106-至今),否,混合型基金,偏股混合型基金,604858779.31,14.835616438356,,86.141611227968
229,420005.OF,天弘周期策略混合A,谷琦彬,姚锦(20091217-20110505) 吕宜振(20100416-20110426) 高喜阳(20110422-20130607) 钱文成(20130531-20160222) 肖志刚(20130918-20160222) 陈国光(20151120-20191227) 谷琦彬(20181208-至今),否,混合型基金,偏股混合型基金,304040091.43,13.794520547945,,92.383527880938
232,450002.OF,国富弹性市值混合A,赵晓东,张晓东(20060614-20141219) 赵晓东(20141219-至今),否,混合型基金,偏股混合型基金,2557359499.22,17.306849315068,,85.487757527738
233,450003.OF,国富潜力组合混合A,徐荔蓉,朱国庆(20070322-20140221) 张惟闵(20070323-20071122) 徐荔蓉(20140221-至今),否,混合型基金,偏股混合型基金,1969671694.04,16.53698630137,,93.612467583717
234,450004.OF,国富深化价值混合A,刘晓,张晓东(20080703-20141222) 卫学海(20141222-20170225) 刘晓(20170218-至今),否,混合型基金,偏股混合型基金,4752185656.37,15.252054794521,,80.067771669105
235,450007.OF,国富成长动力混合,杜飞,潘江(20090325-20110729) 刘伟亭(20110727-20150525) 卫学海(20150525-20170225) 杜飞(20150717-至今),否,混合型基金,偏股混合型基金,31421301.19,14.52602739726,,88.426435659013
236,450010.OF,国富策略回报混合A,王晓宁,朱国庆(20110802-20140221) 王晓宁(20130730-至今),否,混合型基金,灵活配置型基金,2894390025.07,12.169863013699,,80.041749763033
237,450011.OF,国富研究精选混合A,徐荔蓉,徐荔蓉(20120522-至今) 何景风(20150131-20170214),否,混合型基金,偏股混合型基金,207533009.62,11.364383561644,,92.881435762403
