,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ths_portfolio_duration_fund,ths_jjzhjq_mkl_fund,ths_jjggbl_fund,ACEtype,Fundtype
333,960040.OF,960040,南方多利增强债券H,南方基金,李璇,混合债券型基金(一级),,,,,,纯债基金
394,970096.OF,970096,东证融汇禧悦90天滚动A,东证融汇,"李卿睿,应洁茜,郑铮",混合债券型基金(一级),13814445985.13,0.17322622843302,0.17322622843302,100.45914351331,A,纯债基金
396,970098.OF,970098,东证融汇鑫享30天滚动A,东证融汇,"李卿睿,应洁茜,郑铮",混合债券型基金(一级),10574052547.91,0.17506402572309,0.17504161486347,100.52581261298,A,纯债基金
418,970132.OF,970132,东证融汇添添益中短债A,东证融汇,"郑铮,李卿睿,应洁茜",短期纯债券型基金,2634814198.25,0.088772326520422,0.089286855905941,101.30792109792,A,纯债基金
460,H000355.OF,H000355,南方丰元H,南方基金,李璇,混合债券型基金(一级),,,,,,纯债基金
461,H202108.OF,H202108,南方润元纯债债券H,南方基金,金凌志,中长期纯债券型基金,,,,,,纯债基金
462,H217003.OF,H217003,招商安泰债券H,招商基金,刘万锋,混合债券型基金(一级),,,,,,纯债基金
468,160128.SZ,160128,南方金利定开债券A,南方基金,李璇,中长期纯债券型基金,321560691.95,1.7152761104374,4.1277089677855,154.02544617208,A,纯债基金
470,160515.SZ,160515,博时安丰18个月定开债A,博时基金,王帅,中长期纯债券型基金,455014395.25,5.5128758020934,5.9406855375197,147.68818091366,A,纯债基金
472,160618.SZ,160618,鹏华丰泽债券(LOF),鹏华基金,"祝松,邓明明",混合债券型基金(一级),1420249132.36,2.0091520720865,2.0087331532876,113.35268858604,,纯债基金
476,161014.SZ,161014,富国汇利回报定期开放债券,富国基金,黄纪亮,混合债券型基金(一级),1301474556.61,1.6154796262665,2.2304325074077,142.81408639377,,纯债基金
478,161019.SZ,161019,富国新天锋债券(LOF)A,富国基金,武磊,混合债券型基金(一级),2759163077.72,2.9938508035681,2.9930607523812,132.88925631173,A,纯债基金
479,161115.SZ,161115,易方达岁丰添利债券A,易方达基金,"张凯頔,胡剑",混合债券型基金(一级),7814961069.22,1.9294798313216,2.9513984885345,110.87263764341,A,纯债基金
480,161117.SZ,161117,易方达永旭定期开放债券,易方达基金,李一硕,中长期纯债券型基金,1722648227.58,1.1330522300184,1.1332705137278,158.77679872068,,纯债基金
496,162715.SZ,162715,广发聚源债券(LOF)A,广发基金,吴迪,中长期纯债券型基金,1424931930.49,1.8345368762317,1.8359641506323,103.93379269638,A,纯债基金
509,164703.SZ,164703,汇添富纯债(LOF),汇添富基金,胡娜,混合债券型基金(一级),1530020079.01,1.7116232396835,1.7103579529565,131.39447199156,,纯债基金
541,000005.OF,000005,嘉实增强信用定期债券,嘉实基金,轩璇,混合债券型基金(一级),240889487.74,1.5481226222486,1.5473862632664,132.27579479679,,纯债基金
548,000032.OF,000032,易方达信用债债券A,易方达基金,"胡剑,纪玲云",中长期纯债券型基金,10872700695.31,2.0511488241006,5.226590844729,139.33781236243,A,纯债基金
550,000037.OF,000037,广发景宁纯债A,广发基金,宋倩倩,中长期纯债券型基金,7544181269.79,2.2303636783916,2.5408817902362,131.90708520803,A,纯债基金
555,000053.OF,000053,鹏华永诚一年定开债券,鹏华基金,刘涛,中长期纯债券型基金,755075043.66,8.7296754318247,8.728943756635,153.7274790362,,纯债基金
568,000084.OF,000084,博时安盈债券A,博时基金,黄海峰,短期纯债券型基金,10290942347.83,1.7882263732032,1.7884131711023,122.20343211107,A,纯债基金
572,000090.OF,000090,民生加银高等级信用债债券A,民生加银基金,李文君,短期纯债券型基金,1394147778.25,1.1444829604143,1.8057424171968,130.42851412083,A,纯债基金
579,000111.OF,000111,易方达纯债1年定期开放债券A,易方达基金,李一硕,中长期纯债券型基金,3184206302.28,0.57236374364331,1.717263006407,153.76799412381,A,纯债基金
592,000137.OF,000137,民生加银岁岁增利债券A,民生加银基金,李文君,中长期纯债券型基金,1632056377.36,2.8762379283976,2.8762456668926,126.08408108785,A,纯债基金
594,000139.OF,000139,富国国有企业债债券A/B,富国基金,张波,中长期纯债券型基金,12043362984.99,0.4371787421108,4.105027715808,114.03452162595,AB,纯债基金
598,000147.OF,000147,易方达高等级信用债债券A,易方达基金,胡剑,中长期纯债券型基金,368405461.25,2.4779401969503,4.054121021049,122.19222758875,A,纯债基金
609,000183.OF,000183,嘉实丰益策略定期债券,嘉实基金,轩璇,混合债券型基金(一级),1420432423.85,1.7775714326223,2.0947778148589,144.00041157298,,纯债基金
612,000186.OF,000186,华泰柏瑞季季红债券A,华泰柏瑞基金,罗远航,中长期纯债券型基金,8997794015.49,4.2879182288266,5.9007832319036,123.57711251033,A,纯债基金
613,000187.OF,000187,华泰柏瑞丰盛纯债债券A,华泰柏瑞基金,何子建,中长期纯债券型基金,3634139704.65,2.2260506294518,2.2256150286924,123.56224181322,A,纯债基金
616,000191.OF,000191,富国信用债债券A/B,富国基金,"黄纪亮,吕春杰,陈倩",中长期纯债券型基金,18139279969.3,1.2206760776506,1.2199085735843,117.76432124926,AB,纯债基金
622,000205.OF,000205,易方达投资级信用债债券A,易方达基金,王晓晨,中长期纯债券型基金,5853497901.520001,1.9482565139482,4.2896124838082,110.15261527241,A,纯债基金
624,000207.OF,000207,建信双债增强A,建信基金,彭紫云,混合债券型基金(一级),227529341.03,0.50906569686409,0.50830617318911,104.5624411221,A,纯债基金
635,000244.OF,000244,天弘稳利定期开放A,天弘基金,柴文婷,混合债券型基金(一级),1058225062.19,0.89991722561024,0.90013145216141,126.67765145117,A,纯债基金
637,000252.OF,000252,景顺长城景兴信用纯债债券A,景顺长城基金,何江波,中长期纯债券型基金,801238397.34,2.2430229026748,4.6824325797384,130.46871297487,A,纯债基金
639,000254.OF,000254,长城定期开放债券A,长城基金,张棪,混合债券型基金(一级),88836978.37,2.4963474091678,2.647950930968,121.55932966363,A,纯债基金
641,000265.OF,000265,易方达恒久1年定期债券A,易方达基金,藏海涛,中长期纯债券型基金,2572282054.56,1.8456054105225,1.845605223298,148.46431161933,A,纯债基金
653,000295.OF,000295,鹏华丰实定期开放债券A,鹏华基金,"方昶,王石千",混合债券型基金(一级),1987603223.97,1.1297721549484,1.1295166544372,130.44252467761,A,纯债基金
671,000345.OF,000345,鹏华丰融定期开放债券,鹏华基金,刘涛,混合债券型基金(一级),825086409.53,1.4688519036759,1.468026805927,112.60604750347,,纯债基金
672,000346.OF,000346,建信安心回报6个月定期开放债券A,建信基金,"闫晗,彭紫云",混合债券型基金(一级),3083954098.84,0.49394211005233,1.4793140084605,130.34643622977,A,纯债基金
676,000355.OF,000355,南方丰元信用增强债券A,南方基金,李璇,混合债券型基金(一级),551642077.96,0.97896155178597,2.7139417496443,105.16991612668,A,纯债基金
686,000402.OF,000402,工银纯债债券A,工银瑞信,"张略钊,谷衡",中长期纯债券型基金,11970146170.41,2.5471982006275,2.5466176654583,120.65637219604,A,纯债基金
695,000469.OF,000469,富国目标齐利一年期纯债债券,富国基金,"张洋,黄纪亮",中长期纯债券型基金,952113348.31,1.4044946465934,2.3788637333345,136.53725256635,,纯债基金
703,000516.OF,000516,富国祥利一年期定期开放债券型A,富国基金,黄纪亮,中长期纯债券型基金,3545284677.04,2.1326818112865,3.0006109356166,143.20342093484,A,纯债基金
707,000546.OF,000546,兴业定开债券A,兴业基金,"腊博,周鸣",混合债券型基金(一级),2725669101.49,3.2193586015903,3.8846301759683,100.17954331938,A,纯债基金
708,000552.OF,000552,中加纯债一年A,中加基金,闫沛贤,中长期纯债券型基金,1024296360.29,1.9674551966056,3.5233416091179,136.46178318297,A,纯债基金
717,000606.OF,000606,天弘优选债券,天弘基金,刘洋,中长期纯债券型基金,2709794727.07,2.0052830530453,2.004989106527,122.87964872197,,纯债基金
732,000783.OF,000783,博时季季享三个月持有期债券A,博时基金,"于渤洋,黄海峰",短期纯债券型基金,9636871112.0,0.28142357201035,0.28056268185706,100.19372999662,A,纯债基金
736,000799.OF,000799,民生加银半年理财,民生加银基金,李文君,短期纯债券型基金,5107201155.87,0.02286738967039,0.023552841840073,100.03163713472,,纯债基金
744,000815.OF,000815,鑫元合享纯债A,鑫元基金,郭卉,中长期纯债券型基金,387970847.1,2.5495642226408,2.549009420045,132.0273739042,A,纯债基金
757,000914.OF,000914,中加纯债债券,中加基金,闫沛贤,中长期纯债券型基金,13067389262.94,3.8576746749234,3.8563826618364,123.35388267192,,纯债基金
758,000931.OF,000931,国寿安保尊益信用纯债债券,国寿安保基金,"陶尹斌,丁宇佳",混合债券型基金(一级),664748958.78,1.8332453087758,1.8329836757321,122.56442024449,,纯债基金
759,000943.OF,000943,工银中高等级信用债债券A,工银瑞信,陈桂都,中长期纯债券型基金,366485090.62,1.8798193983923,5.8887450282949,114.57479585039,A,纯债基金
790,001246.OF,001246,兴银长乐定开债,兴银基金,"范泰奇,陶国峰,王深",中长期纯债券型基金,5068367145.24,1.2575836332586,2.1442707990949,154.83729482562,,纯债基金
794,001299.OF,001299,兴业添利债券,兴业基金,"伍方方,周鸣",中长期纯债券型基金,9674482006.16,3.4720604542828,4.6704233033881,104.2228308695,,纯债基金
796,001368.OF,001368,兴业稳固收益一年理财债券,兴业基金,"周鸣,王卓然",中长期纯债券型基金,8026488292.68,0.47830662958706,0.47740402306616,127.56125530012,,纯债基金
797,001369.OF,001369,兴业稳固收益两年理财债券,兴业基金,唐丁祥,中长期纯债券型基金,7867104836.33,,,100.03359599224,,纯债基金
801,001545.OF,001545,博时裕嘉3个月定开债发起式,博时基金,郭思洁,中长期纯债券型基金,1378381458.01,0.71278303999538,0.71150178355957,100.99742344038,,纯债基金
803,001578.OF,001578,博时裕瑞纯债债券,博时基金,"李汉楠,李秋实,何平",中长期纯债券型基金,7234119449.98,1.7828588347736,1.748517131699,117.69434396627,,纯债基金
804,001619.OF,001619,兴银汇福定开债,兴银基金,范泰奇,中长期纯债券型基金,2984434212.87,1.5172176624492,1.5164832116244,123.89408067683,,纯债基金
811,001783.OF,001783,兴银合盈债券A,兴银基金,王深,中长期纯债券型基金,5083588740.87,1.6560244595909,1.6558868238244,109.46316903711,A,纯债基金
813,001785.OF,001785,民生加银岁岁增利债券D,民生加银基金,李文君,中长期纯债券型基金,1632056377.36,2.8762379283976,2.8762456668926,126.08408108785,,纯债基金
815,001819.OF,001819,兴全稳益定开债券,兴证全球基金,"翟秀华,王健,石广翔",中长期纯债券型基金,10022827846.32,2.4674191640577,4.4253468617642,141.4119768784,,纯债基金
822,001911.OF,001911,博时裕恒纯债债券,博时基金,郭思洁,中长期纯债券型基金,2548278478.12,2.7762491970513,3.3419372729572,125.97338958253,,纯债基金
831,001960.OF,001960,兴银瑞益,兴银基金,"洪木妹,王深,陶国峰",中长期纯债券型基金,3645260799.97,3.1436167581731,4.2304817929275,130.45461636295,,纯债基金
832,001961.OF,001961,博时裕荣纯债债券,博时基金,郭思洁,中长期纯债券型基金,3705514311.15,1.2748215231091,1.2719967569194,119.00336893859,,纯债基金
839,001993.OF,001993,博时裕泰纯债债券,博时基金,李汉楠,中长期纯债券型基金,1411750441.29,1.5590851504716,1.5577825886991,136.90722025161,,纯债基金
849,002109.OF,002109,博时裕丰3个月定开债发起式,博时基金,"王帅,程卓",中长期纯债券型基金,1953709018.72,2.729144603887,3.3299152054598,131.68225611588,,纯债基金
853,002140.OF,002140,博时裕诚纯债债券,博时基金,郭思洁,中长期纯债券型基金,1113804248.08,2.5320406351157,2.5320936979133,122.87402907191,,纯债基金
854,002143.OF,002143,博时裕坤3个月定开债发起式,博时基金,郭思洁,中长期纯债券型基金,300226352.14,1.3152740216239,2.0935424699745,130.79893519037,,纯债基金
855,002169.OF,002169,永赢稳益债券,永赢基金,陶毅,中长期纯债券型基金,7919436092.67,3.4244879500882,3.4231308418784,122.01015015265,,纯债基金
856,002175.OF,002175,博时裕乾纯债A,博时基金,何平,中长期纯债券型基金,2047454042.47,2.5542556684335,2.4212884585912,116.55962813461,A,纯债基金
857,002188.OF,002188,鹏华丰华债券,鹏华基金,刘涛,中长期纯债券型基金,1852778268.86,2.3599660903304,2.3601072716543,113.64586531531,,纯债基金
858,002198.OF,002198,博时裕达纯债,博时基金,王帅,中长期纯债券型基金,1293363471.64,2.2429849195137,2.242791734203,120.53640115204,,纯债基金
859,002206.OF,002206,博时裕康纯债,博时基金,王帅,中长期纯债券型基金,511431263.58,6.181700211064,6.1821764803302,136.89843857981,,纯债基金
866,002268.OF,002268,兴业丰利债券,兴业基金,伍方方,中长期纯债券型基金,4407654244.46,2.941245296255,5.7640960574126,117.17466142839,,纯债基金
875,002301.OF,002301,兴业短债债券A,兴业基金,刘禹含,短期纯债券型基金,8834703715.05,0.73218024953443,0.72872153082558,112.24504673481,A,纯债基金
876,002336.OF,002336,创金合信尊享纯债债券A,创金合信基金,郑振源,中长期纯债券型基金,1095143841.49,1.5754474164336,1.5704874092861,102.14526642071,A,纯债基金
879,002341.OF,002341,招商招瑞纯债债券发起式A,招商基金,刘万锋,中长期纯债券型基金,1548279051.96,1.3681812371063,2.066008943791,127.45016291876,A,纯债基金
883,002354.OF,002354,博时裕腾纯债,博时基金,李秋实,中长期纯债券型基金,434788820.07,1.835691999744,1.8356509623808,118.87574419388,,纯债基金
888,002377.OF,002377,建信睿怡纯债A,建信基金,"吴沛文,闫晗",混合债券型基金(一级),472300946.67,2.125028426882,3.2535078697518,120.25395589284,A,纯债基金
894,002395.OF,002395,鹏华丰尚定期开放债券A,鹏华基金,刘涛,混合债券型基金(一级),2721917263.84,0.81774884701929,1.9727148530318,129.07150331982,A,纯债基金
907,002438.OF,002438,创金合信尊盛纯债债券,创金合信基金,郑振源,中长期纯债券型基金,1009141329.37,4.7984417909942,5.6110838113682,134.5429267799,,纯债基金
910,002445.OF,002445,兴业丰泰债券,兴业基金,王卓然,中长期纯债券型基金,4375203424.95,1.2274676160197,1.2259297196441,133.94777054639,,纯债基金
911,002447.OF,002447,博时裕安一年定开债发起式,博时基金,李汉楠,中长期纯债券型基金,976107322.94,1.2221312014636,1.5970466855158,100.05545152744,,纯债基金
916,002466.OF,002466,博时裕新纯债,博时基金,郭思洁,中长期纯债券型基金,3685380688.75,1.3794088585256,2.9632619772491,130.56057427196,,纯债基金
918,002483.OF,002483,富国泰利定期开放债券发起式,富国基金,俞晓斌,混合债券型基金(一级),240992926.55,0.74067369853114,0.73991182163638,104.25666177711,,纯债基金
932,002524.OF,002524,兴业福益债券,兴业基金,唐丁祥,混合债券型基金(一级),2064622616.63,1.4713013740096,1.4710229718392,124.77945084875,,纯债基金
936,002548.OF,002548,嘉实稳瑞纯债债券,嘉实基金,"王立芹,韩同利,闫红蕾",中长期纯债券型基金,1477747465.66,2.8032604518275,4.5716286347015,123.12323164956,,纯债基金
937,002549.OF,002549,嘉实稳祥纯债债券A,嘉实基金,王亚洲,中长期纯债券型基金,8247415592.12,3.6444703827529,3.644203774766,112.93911789239,A,纯债基金
939,002552.OF,002552,华夏恒利3个月定开债券,华夏基金,孙蕾,混合债券型基金(一级),2996858014.84,1.3815862655622,1.3780455958123,137.35351715653,,纯债基金
940,002568.OF,002568,博时裕发纯债债券,博时基金,于渤洋,中长期纯债券型基金,1013607954.58,2.4638473559733,2.7749993855349,128.18578475525,,纯债基金
942,002578.OF,002578,博时裕泉纯债债券,博时基金,李秋实,中长期纯债券型基金,5116718983.53,0.81084580549621,1.8284213106275,100.03956861724,,纯债基金
946,002600.OF,002600,易方达裕景添利6个月定期开放债券,易方达基金,李一硕,混合债券型基金(一级),1838890483.94,2.1304390957241,4.5094986858366,147.64611773741,,纯债基金
947,002603.OF,002603,工银瑞信瑞丰半年定期开放纯债债券,工银瑞信,李娜,中长期纯债券型基金,14931372786.95,1.0310327264566,1.8104617243409,111.31095070767,,纯债基金
948,002625.OF,002625,博时安怡6个月定开债,博时基金,王帅,混合债券型基金(一级),305345188.13,2.7581899141038,2.7577721144082,119.73975529437,,纯债基金
954,002638.OF,002638,兴业天融债券,兴业基金,雷志强,中长期纯债券型基金,9151058710.85,2.3503950512175,2.3505122610562,133.85184055947,,纯债基金
965,002698.OF,002698,博时裕利纯债债券,博时基金,陈黎,中长期纯债券型基金,6120087730.91,1.2070667498361,1.2066304383498,113.50790994098,,纯债基金
972,002716.OF,002716,博时裕通3个月定开债发起式A,博时基金,何平,中长期纯债券型基金,3061674865.57,2.9329357963419,2.6524196298387,132.3367661277,A,纯债基金
986,002750.OF,002750,工银泰享三年理财债券,工银瑞信,陈桂都,中长期纯债券型基金,15379871170.64,1.644354407173,1.6443895489398,152.53170107051,,纯债基金
987,002754.OF,002754,博时裕创纯债,博时基金,李汉楠,中长期纯债券型基金,1030405799.96,4.0708673156723,4.0703772274647,134.16001853189,,纯债基金
988,002755.OF,002755,博时裕盛纯债,博时基金,李汉楠,中长期纯债券型基金,483561067.25,1.2211025798353,1.5006146571622,116.00494684573,,纯债基金
995,002781.OF,002781,博时聚瑞6个月定开债发起式,博时基金,于渤洋,中长期纯债券型基金,5168199941.82,1.6311218730137,4.967924799878,106.67744095323,,纯债基金
1010,002832.OF,002832,工银恒享纯债债券A,工银瑞信,"杨曼丽,陈桂都",中长期纯债券型基金,1410480277.99,1.7848822313606,1.7845727268564,105.71599760791,A,纯债基金
1013,002864.OF,002864,广发安泽短债A,广发基金,刘志辉,短期纯债券型基金,1132833147.67,0.47288327687955,0.47157075870208,102.94406862463,A,纯债基金
1015,002868.OF,002868,鹏华丰茂债券,鹏华基金,杜培俊,中长期纯债券型基金,1084740903.55,2.922884566946,2.9226340632181,127.78128911188,,纯债基金
1023,002898.OF,002898,富国两年期理财债券A,富国基金,俞晓斌,中长期纯债券型基金,19945022424.13,1.4188673574267,1.4184983478443,129.7579132413,A,纯债基金
1027,002904.OF,002904,博时安仁一年定开债发起式A,博时基金,李汉楠,中长期纯债券型基金,3146111975.93,0.91465916650645,2.8835288854761,126.91446363888,A,纯债基金
1034,002927.OF,002927,长盛盛和纯债A,长盛基金,王贵君,中长期纯债券型基金,2158254427.56,1.1352629779075,1.8891422647803,126.24180978794,A,纯债基金
1036,002929.OF,002929,博时聚盈纯债债券,博时基金,于渤洋,中长期纯债券型基金,1329302407.16,4.1729901155501,4.1717767875872,116.85442216634,,纯债基金
1037,002930.OF,002930,博时聚润纯债债券,博时基金,王帅,中长期纯债券型基金,490838858.18,1.7071880448078,1.7072475644537,135.73871705481,,纯债基金
1048,002970.OF,002970,博时裕昂纯债债券,博时基金,李汉楠,中长期纯债券型基金,444299264.64,1.9878237223634,1.9874750194779,103.89639756303,,纯债基金
1051,002985.OF,002985,中银季季红定期开放债券,中银基金,易芳菲,混合债券型基金(一级),43199664.5,1.0872239093094,2.2106692584392,100.35960598722,,纯债基金
1054,002991.OF,002991,嘉实稳鑫纯债债券,嘉实基金,李卓锴,中长期纯债券型基金,2566976678.74,3.1681175047939,3.1679936317115,102.80293466886,,纯债基金
1055,002994.OF,002994,招商招裕纯债A,招商基金,"王闯,康晶",中长期纯债券型基金,56879202.52,4.6926450880659,4.6927420056222,117.72969333818,A,纯债基金
1068,003039.OF,003039,广发集富纯债A,广发基金,吴迪,中长期纯债券型基金,994954709.49,1.3646820516418,1.3648249559563,137.12584917351,A,纯债基金
1082,003102.OF,003102,长盛盛裕纯债A,长盛基金,王贵君,中长期纯债券型基金,5266344800.2,2.9533830896891,2.952600154389,134.58845651145,A,纯债基金
1095,003155.OF,003155,中加丰尚纯债债券A,中加基金,王霈,中长期纯债券型基金,1999426238.6,1.3532085588448,1.348361757231,101.69856436633,A,纯债基金
1100,003162.OF,003162,博时富宁纯债债券,博时基金,李秋实,中长期纯债券型基金,3066586040.38,0.41153360292615,0.41053629669534,104.74099449765,,纯债基金
1110,003188.OF,003188,博时聚源纯债债券A,博时基金,黄海峰,中长期纯债券型基金,6264778474.28,3.0410082486546,3.0409801082354,137.4229854346,A,纯债基金
1111,003192.OF,003192,创金合信尊丰纯债,创金合信基金,郑振源,混合债券型基金(一级),956252699.62,1.9295555614345,1.9289598704099,121.90400410511,,纯债基金
1112,003193.OF,003193,创金合信尊智纯债A,创金合信基金,郑振源,混合债券型基金(一级),206215111.63,1.1079250869672,1.8702602081004,125.15888760523,A,纯债基金
1122,003209.OF,003209,鹏华丰达债券,鹏华基金,杜培俊,中长期纯债券型基金,3923109767.64,4.9861306644264,7.3523750667218,126.0191252126,,纯债基金
1124,003213.OF,003213,中银悦享定期开放债券,中银基金,白洁,中长期纯债券型基金,21790016961.42,1.5938782887091,4.3656600930568,100.04280538095,,纯债基金
1125,003214.OF,003214,易方达富惠纯债债券A,易方达基金,李一硕,中长期纯债券型基金,882702961.45,1.2617504934471,2.5424670514139,135.09060269393,A,纯债基金
1131,003223.OF,003223,广发景丰纯债,广发基金,吴迪,中长期纯债券型基金,8613325818.13,1.5246277101604,2.1987532221359,120.87320533255,,纯债基金
1138,003258.OF,003258,博时富祥纯债债券A,博时基金,陈黎,中长期纯债券型基金,3218252233.26,0.38741108638822,0.38723375198038,130.61505386332,A,纯债基金
1140,003260.OF,003260,博时利发纯债债券A,博时基金,王帅,中长期纯债券型基金,268941034.32,3.4148089959074,3.414054939221,136.57746289581,A,纯债基金
1141,003265.OF,003265,招商招坤纯债A,招商基金,郭敏,中长期纯债券型基金,3604674619.68,2.2593685084475,4.5536527719042,107.80045443672,A,纯债基金
1143,003268.OF,003268,博时悦楚纯债债券,博时基金,郭思洁,中长期纯债券型基金,1533651114.11,1.6324043912338,3.2958911082606,127.71111232991,,纯债基金
1144,003269.OF,003269,招商招乾3个月定开债发起式A,招商基金,王梓林,中长期纯债券型基金,4693273485.85,1.9287679407215,3.0382432755867,120.17125803651,A,纯债基金
1150,003280.OF,003280,鹏华丰恒债券,鹏华基金,方昶,中长期纯债券型基金,18442890152.58,0.58857843632541,0.58833228762981,120.58128996224,,纯债基金
1151,003285.OF,003285,国寿安保安康纯债债券,国寿安保基金,李一鸣,中长期纯债券型基金,13185993024.62,2.3422991298193,2.9494440301158,125.54804134539,,纯债基金
1155,003289.OF,003289,创金合信尊泰纯债,创金合信基金,郑振源,混合债券型基金(一级),1023543216.05,1.7881952641456,1.7878593922499,121.35140622722,,纯债基金
1156,003290.OF,003290,长城久稳债券A,长城基金,吴冰燕,中长期纯债券型基金,813272684.88,0.82040084779019,0.81847148905946,117.30618455122,A,纯债基金
1160,003309.OF,003309,兴业启元一年定开债券A,兴业基金,唐丁祥,混合债券型基金(一级),437617635.62,1.6501399664126,3.2587168813971,146.15320289454,A,纯债基金
1162,003313.OF,003313,中银睿享定期开放债券,中银基金,白洁,中长期纯债券型基金,24524897347.84,2.5574323329105,2.5567057526782,100.0339000499,,纯债基金
