,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ths_found_years_fund
16,019369.OF,019369,银华安丰中短期政策性金融债债券D,银华基金,"龚美若,阚磊",短期纯债券型基金,2497278197.55,0.063013698630137
17,019382.OF,019382,南方景元中高等级信用债债券C,南方基金,刘骥,中长期纯债券型基金,101734353.39,0.079452054794521
18,019383.OF,019383,银华信用季季红债券D,银华基金,李丹,混合债券型基金(一级),3494738723.84,0.071232876712329
19,019391.OF,019391,招商双债增强(LOF)I,招商基金,刘万锋,混合债券型基金(一级),7362157930.06,0.071232876712329
20,019439.OF,019439,银华顺璟6个月定期开放债券C,银华基金,瞿灿,中长期纯债券型基金,1160036061.06,0.0054794520547945
21,019445.OF,019445,华富恒盛纯债债券E,华富基金,倪莉莎,中长期纯债券型基金,690258874.83,0.052054794520548
22,019446.OF,019446,添富短债债券D,汇添富基金,杨靖,短期纯债券型基金,5828229329.6,0.065753424657534
23,019451.OF,019451,中欧兴悦债券C,中欧基金,周锦程,中长期纯债券型基金,211695185.13,0.057534246575342
24,019463.OF,019463,招商鑫悦中短债D,招商基金,郭敏,短期纯债券型基金,4830983383.08,0.052054794520548
25,019474.OF,019474,中欧聚瑞债券D,中欧基金,"LI TONG,周锦程",混合债券型基金(一级),1941646867.89,0.057534246575342
26,019477.OF,019477,鹏扬淳盈6个月定开D,鹏扬基金,"管悦,李沁",中长期纯债券型基金,208581855.07,0.052054794520548
27,019479.OF,019479,华安添鑫中短债E,华安基金,"郑如熙,马晓璇",短期纯债券型基金,3128278261.2,0.046575342465753
28,019480.OF,019480,博时亚洲票息收益债券C(人民币),博时基金,何凯,QDII债券型基金,1269351969.69,0.03013698630137
29,019481.OF,019481,博时亚洲票息收益债券C(美元汇),博时基金,何凯,QDII债券型基金,1269351969.69,0.03013698630137
30,019482.OF,019482,泰康信用精选债券D,泰康基金,经惠云,中长期纯债券型基金,3438564337.12,0.046575342465753
31,019483.OF,019483,泰康信用精选债券E,泰康基金,经惠云,中长期纯债券型基金,3438564337.12,0.046575342465753
32,019486.OF,019486,金元顺安沣泉债券C,金元顺安,周博洋,混合债券型基金(二级),435507678.99,0.043835616438356
33,019500.OF,019500,招商安瑞进取债券C,招商基金,况冲,混合债券型基金(二级),352599984.52,0.041095890410959
34,019513.OF,019513,中欧汇利债券E,中欧基金,华李成,混合债券型基金(二级),,0.0054794520547945
35,019515.OF,019515,广发民玉纯债C,广发基金,高翔,中长期纯债券型基金,301762511.1,0.024657534246575
36,019520.OF,019520,路博迈中国绿色债券,路博迈基金,魏丽,中长期纯债券型基金,2194183882.72,0.010958904109589
37,019526.OF,019526,中邮纯债丰利债券E,中邮基金,"张悦,武志骁",混合债券型基金(一级),2180886693.38,0.046575342465753
38,019533.OF,019533,鑫元泽利债券C,鑫元基金,曹建华,混合债券型基金(一级),112633655.56,0.03013698630137
39,019534.OF,019534,富国安利90天滚动持有债券E,富国基金,张波,中长期纯债券型基金,890282168.55,0.03013698630137
40,019539.OF,019539,鹏华丰玉债券C,鹏华基金,"吴国杰,刘太阳",中长期纯债券型基金,101850836.14,0.032876712328767
41,019540.OF,019540,富国可转债E,富国基金,"祝祯哲,张明凯",可转换债券型基金,4542257999.51,0.03013698630137
42,019543.OF,019543,浦银安盛普恒利率债,浦银安盛基金,陶祺,中长期纯债券型基金,7990001790.22,0.0082191780821918
43,019591.OF,019591,平安0-3年期政策性金融债债券D,平安基金,周恩源,短期纯债券型基金,2225091209.82,0.013698630136986
44,019596.OF,019596,富国中债7-10年政策性金融债ETF发起式联接E,富国基金,"李金柳,朱征星",被动指数型债券基金,366211270.11,0.010958904109589
45,019606.OF,019606,易方达富惠纯债债券D,易方达基金,李一硕,中长期纯债券型基金,671442663.98,0.013698630136986
46,019623.OF,019623,博时裕弘纯债债券C,博时基金,王惟,中长期纯债券型基金,4238458.47,0.010958904109589
47,019630.OF,019630,银华美元债精选债券(QDII)D,银华基金,叶青,QDII债券型基金,22184074.05,0.010958904109589
48,019638.OF,019638,金鹰添瑞中短债D,金鹰基金,龙悦芳,短期纯债券型基金,2487496820.84,0.021917808219178
49,019644.OF,019644,华安众享180天持有期中短债E,华安基金,郑如熙,混合债券型基金(一级),429967049.08,0.0082191780821918
50,020002.OF,020002,国泰金龙债券A,国泰基金,"茅利伟,刘波,王玉",混合债券型基金(一级),78309731.76,19.832876712329
51,020012.OF,020012,国泰金龙债券C,国泰基金,"刘波,茅利伟,王玉",混合债券型基金(一级),78309731.76,15.328767123288
52,020019.OF,020019,国泰双利债券A,国泰基金,陈志华,混合债券型基金(二级),6489602514.46,14.564383561644
53,020020.OF,020020,国泰双利债券C,国泰基金,陈志华,混合债券型基金(二级),6489602514.46,14.564383561644
54,020033.OF,020033,国泰民安增利债券A,国泰基金,程瑶,混合债券型基金(二级),112582114.4,10.767123287671
55,020034.OF,020034,国泰民安增利债券C,国泰基金,程瑶,混合债券型基金(二级),112582114.4,10.767123287671
56,040009.OF,040009,华安稳定收益债券A,华安基金,贺涛,混合债券型基金(一级),101021454.68,15.427397260274
57,040010.OF,040010,华安稳定收益债券B,华安基金,贺涛,混合债券型基金(一级),101021454.68,15.427397260274
58,040012.OF,040012,华安强化收益债券A,华安基金,郑伟山,混合债券型基金(二级),230444352.05,14.47397260274
59,040013.OF,040013,华安强化收益债券B,华安基金,郑伟山,混合债券型基金(二级),230444352.05,14.47397260274
60,040019.OF,040019,华安稳固收益债券C,华安基金,石雨欣,混合债券型基金(一级),441891531.88,12.783561643836
61,040022.OF,040022,华安可转债债券A,华安基金,"周益鸣,卢维捷",可转换债券型基金,3143592972.84,12.282191780822
62,040023.OF,040023,华安可转债债券B,华安基金,"周益鸣,卢维捷",可转换债券型基金,3143592972.84,12.282191780822
63,040026.OF,040026,华安信用四季红债券A,华安基金,"吴文明,魏媛媛",中长期纯债券型基金,3368618431.44,11.819178082192
64,040036.OF,040036,华安安心收益债券A,华安基金,周益鸣,混合债券型基金(二级),81645708.83,11.068493150685
65,040037.OF,040037,华安安心收益债券B,华安基金,周益鸣,混合债券型基金(二级),81645708.83,11.068493150685
66,040040.OF,040040,华安纯债债券A,华安基金,郑如熙,中长期纯债券型基金,3682116331.95,10.654794520548
67,040041.OF,040041,华安纯债债券C,华安基金,郑如熙,中长期纯债券型基金,3682116331.95,10.654794520548
68,040045.OF,040045,华安添鑫中短债A,华安基金,"郑如熙,马晓璇",短期纯债券型基金,3128278261.2,10.772602739726
69,050006.OF,050006,博时稳定价值债券B,博时基金,"张李陵,罗霄",混合债券型基金(一级),2625648368.14,18.112328767123
70,050011.OF,050011,博时信用债券A/B,博时基金,过钧,混合债券型基金(二级),7715229627.76,14.315068493151
71,050016.OF,050016,博时宏观回报债券A/B,博时基金,王申,混合债券型基金(二级),1853297587.64,13.186301369863
72,050019.OF,050019,博时转债增强债券A,博时基金,"过钧,高晖",可转换债券型基金,1441291776.3,12.857534246575
73,050023.OF,050023,博时天颐债券A,博时基金,"李重阳,王申",混合债券型基金(二级),1144657251.28,11.591780821918
74,050027.OF,050027,博时信用债纯债债券A,博时基金,张李陵,中长期纯债券型基金,13300825827.03,11.068493150685
75,050030.OF,050030,博时亚洲票息收益债券A(人民币),博时基金,何凯,QDII债券型基金,1269351969.69,10.665753424658
76,050106.OF,050106,博时稳定价值债券A,博时基金,"罗霄,张李陵",混合债券型基金(一级),2625648368.14,16.076712328767
77,050111.OF,050111,博时信用债券C,博时基金,过钧,混合债券型基金(二级),7715229627.76,14.315068493151
78,050116.OF,050116,博时宏观回报债券C,博时基金,王申,混合债券型基金(二级),1853297587.64,13.186301369863
79,050119.OF,050119,博时转债增强债券C,博时基金,"高晖,过钧",可转换债券型基金,1441291776.3,12.857534246575
80,050123.OF,050123,博时天颐债券C,博时基金,"王申,李重阳",混合债券型基金(二级),1144657251.28,11.591780821918
81,050202.OF,050202,博时亚洲票息收益债券A(美元汇),博时基金,何凯,QDII债券型基金,1269351969.69,10.665753424658
82,050203.OF,050203,博时亚洲票息收益债券A(美元钞),博时基金,何凯,QDII债券型基金,1269351969.69,10.665753424658
83,070005.OF,070005,嘉实债券,嘉实基金,轩璇,混合债券型基金(一级),803633475.84,20.241095890411
84,070009.OF,070009,嘉实超短债债券C,嘉实基金,李金灿,短期纯债券型基金,18471394220.71,17.441095890411
85,070015.OF,070015,嘉实多元债券A,嘉实基金,"洪流,董福焱,李宇昂",混合债券型基金(二级),3576440534.94,15.06301369863
86,070016.OF,070016,嘉实多元债券B,嘉实基金,"洪流,董福焱,李宇昂",混合债券型基金(二级),3576440534.94,15.06301369863
87,070020.OF,070020,嘉实稳固收益债券C,嘉实基金,胡永青,混合债券型基金(二级),5243888519.46,13.087671232877
88,070025.OF,070025,嘉实信用债券A,嘉实基金,"王立芹,赵国英",混合债券型基金(一级),8351457777.55,12.052054794521
89,070026.OF,070026,嘉实信用债券C,嘉实基金,"赵国英,王立芹",混合债券型基金(一级),8351457777.55,12.052054794521
90,070037.OF,070037,嘉实纯债债券A,嘉实基金,轩璇,中长期纯债券型基金,6038341178.39,10.808219178082
91,070038.OF,070038,嘉实纯债债券C,嘉实基金,轩璇,中长期纯债券型基金,6038341178.39,10.808219178082
92,080003.OF,080003,长盛积极配置债券,长盛基金,杨哲,混合债券型基金(二级),208305492.08,14.986301369863
93,090002.OF,090002,大成债券A/B,大成基金,王立,混合债券型基金(一级),1434358905.1,20.315068493151
94,090017.OF,090017,大成可转债增强债券A,大成基金,成琦,可转换债券型基金,105671838.19,11.841095890411
95,090021.OF,090021,大成月添利一个月滚动持有中短债债券A,大成基金,曾婷婷,短期纯债券型基金,51055314.68,3.2520547945205
96,090023.OF,090023,大成安汇金融债C,大成基金,张俊杰,中长期纯债券型基金,64381413.21,3.1561643835616
97,091021.OF,091021,大成月添利一个月滚动持有中短债债券B,大成基金,曾婷婷,短期纯债券型基金,51055314.68,3.2520547945205
98,091023.OF,091023,大成安汇金融债A,大成基金,张俊杰,中长期纯债券型基金,64381413.21,3.1561643835616
99,092002.OF,092002,大成债券C,大成基金,王立,混合债券型基金(一级),1434358905.1,17.446575342466
100,100018.OF,100018,富国天利增长债券A,富国基金,黄纪亮,混合债券型基金(一级),14988000114.02,19.841095890411
101,100035.OF,100035,富国优化增强债券A/B,富国基金,刘兴旺,混合债券型基金(二级),1056203690.58,14.315068493151
102,100037.OF,100037,富国优化增强债券C,富国基金,刘兴旺,混合债券型基金(二级),1056203690.58,14.315068493151
103,100050.OF,100050,富国全球债券(QDII)人民币A,富国基金,郭子琨,QDII债券型基金,1972896831.35,12.953424657534
104,100051.OF,100051,富国可转债A,富国基金,"张明凯,祝祯哲",可转换债券型基金,4542257999.51,12.819178082192
105,100058.OF,100058,富国产业债A,富国基金,"黄纪亮,武磊",混合债券型基金(一级),7753097808.34,11.827397260274
106,100066.OF,100066,富国纯债债券发起式A/B,富国基金,"吕春杰,张洋",中长期纯债券型基金,3867083243.12,10.860273972603
107,100068.OF,100068,富国纯债债券发起式C,富国基金,"张洋,吕春杰",中长期纯债券型基金,3867083243.12,10.860273972603
108,100072.OF,100072,富国强回报定期开放债券A,富国基金,黄纪亮,中长期纯债券型基金,1197794596.53,10.67397260274
109,100073.OF,100073,富国强回报定期开放债券C,富国基金,黄纪亮,中长期纯债券型基金,1197794596.53,10.67397260274
110,110007.OF,110007,易方达稳健收益债券A,易方达基金,胡剑,混合债券型基金(二级),62047032362.1,18.041095890411
111,110008.OF,110008,易方达稳健收益债券B,易方达基金,胡剑,混合债券型基金(二级),62047032362.1,18.041095890411
112,110017.OF,110017,易方达增强回报债券A,易方达基金,王晓晨,混合债券型基金(二级),20223763999.42,15.542465753425
113,110018.OF,110018,易方达增强回报债券B,易方达基金,王晓晨,混合债券型基金(二级),20223763999.42,15.542465753425
114,110027.OF,110027,易方达安心回报债券A,易方达基金,张清华,混合债券型基金(二级),11624386383.32,12.284931506849
115,110028.OF,110028,易方达安心回报债券B,易方达基金,张清华,混合债券型基金(二级),11624386383.32,12.284931506849
116,110035.OF,110035,易方达双债增强债券A,易方达基金,"田鑫,王晓晨",混合债券型基金(一级),18113453204.82,11.838356164384
117,110036.OF,110036,易方达双债增强债券C,易方达基金,"田鑫,王晓晨",混合债券型基金(一级),18113453204.82,11.838356164384
118,110037.OF,110037,易方达纯债债券A,易方达基金,张雅君,中长期纯债券型基金,1291554578.31,11.416438356164
119,110038.OF,110038,易方达纯债债券C,易方达基金,张雅君,中长期纯债券型基金,1291554578.31,11.416438356164
120,110050.OF,110050,易方达安和中短债债券C,易方达基金,梁莹,短期纯债券型基金,3425672943.02,2.813698630137
121,110051.OF,110051,易方达安和中短债债券A,易方达基金,梁莹,短期纯债券型基金,3425672943.02,2.813698630137
122,110052.OF,110052,易方达安源中短债债券C,易方达基金,李一硕,短期纯债券型基金,5969048362.98,4.3452054794521
123,110053.OF,110053,易方达安源中短债债券A,易方达基金,李一硕,短期纯债券型基金,5969048362.98,4.3452054794521
124,121009.OF,121009,国投瑞银稳定增利债券C,国投瑞银基金,王侃,混合债券型基金(一级),458905027.0,15.728767123288
125,121012.OF,121012,国投瑞银优化增强债券A/B,国投瑞银基金,"杨枫,綦缚鹏",混合债券型基金(二级),13934101363.83,13.068493150685
126,128112.OF,128112,国投瑞银优化增强债券C,国投瑞银基金,"綦缚鹏,杨枫",混合债券型基金(二级),13934101363.83,13.068493150685
127,160129.OF,160129,南方金利C,南方基金,李璇,中长期纯债券型基金,319843588.28,11.378082191781
128,160217.OF,160217,国泰信用互利债券A,国泰基金,"王玉,刘波",混合债券型基金(一级),714597798.41,3.5342465753425
129,160514.OF,160514,博时稳健回报债券(LOF)C,博时基金,"高晖,罗霄",混合债券型基金(一级),5746835016.88,9.3123287671233
130,160523.OF,160523,博时安丰18个月定开债C,博时基金,王帅,中长期纯债券型基金,455140987.9,7.0657534246575
131,160602.OF,160602,鹏华普天债券A,鹏华基金,刘涛,混合债券型基金(一级),1918604673.19,20.232876712329
132,160608.OF,160608,鹏华普天债券B,鹏华基金,刘涛,混合债券型基金(一级),1918604673.19,17.38904109589
133,160612.OF,160612,鹏华丰收债券,鹏华基金,祝松,混合债券型基金(二级),338332792.26,15.350684931507
134,160718.OF,160718,嘉实多利收益债券A,嘉实基金,"韩同利,高群山,罗伟卿",混合债券型基金(二级),7205777355.81,2.841095890411
135,161120.OF,161120,易方达中债新综合债券指数(LOF)C,易方达基金,杨真,被动指数型债券基金,1649413296.37,10.898630136986
136,161221.OF,161221,国投瑞银双债债券C,国投瑞银基金,"李达夫,宋璐",混合债券型基金(一级),1660391920.2,9.5123287671233
137,161506.OF,161506,通利债C,银河基金,何晶,混合债券型基金(一级),573442525.19,9.4356164383562
138,161603.OF,161603,融通债券A/B,融通基金,王超,混合债券型基金(一级),605383006.73,20.013698630137
139,161618.OF,161618,融通岁岁添利定期开放债券A,融通基金,王超,混合债券型基金(一级),72925075.32,10.904109589041
140,161619.OF,161619,融通岁岁添利定期开放债券B,融通基金,王超,混合债券型基金(一级),72925075.32,10.904109589041
141,161624.OF,161624,融通可转债A,融通基金,樊鑫,可转换债券型基金,236168328.39,10.520547945205
142,161625.OF,161625,融通可转债C,融通基金,樊鑫,可转换债券型基金,236168328.39,10.520547945205
143,161627.OF,161627,融通通福债券C,融通基金,"李冠頔,樊鑫",混合债券型基金(一级),27455612.21,6.8027397260274
144,161693.OF,161693,融通债券C,融通基金,王超,混合债券型基金(一级),605383006.73,11.616438356164
145,161902.OF,161902,万家增强收益债券,万家基金,"束金伟,陈奕雯",混合债券型基金(二级),1536570213.94,19.016438356164
146,162210.OF,162210,宏利集利债券A,宏利基金,"李宇璐,张勋",混合债券型基金(二级),1745855988.12,15.019178082192
147,162299.OF,162299,宏利集利债券C,宏利基金,"李宇璐,张勋",混合债券型基金(二级),1745855988.12,15.019178082192
148,162716.OF,162716,广发聚源债券C,广发基金,吴迪,中长期纯债券型基金,2024100079.76,10.402739726027
149,163007.OF,163007,长信利众(LOF)A,长信基金,刘婧,混合债券型基金(一级),1041642672.66,7.2712328767123
150,163008.OF,163008,长信利鑫A,长信基金,张文琍,混合债券型基金(一级),162212130.72,6.7260273972603
151,163806.OF,163806,中银增利债券,中银基金,王晓彦,混合债券型基金(一级),249368046.3,14.887671232877
152,163811.OF,163811,中银双利债券A,中银基金,范锐,混合债券型基金(二级),266131252.92,12.857534246575
153,163812.OF,163812,中银双利债券B,中银基金,范锐,混合债券型基金(二级),266131252.92,12.857534246575
154,163816.OF,163816,中银转债增强债券A,中银基金,范锐,可转换债券型基金,471085198.34,12.26301369863
155,163817.OF,163817,中银转债增强债券B,中银基金,范锐,可转换债券型基金,471085198.34,12.26301369863
156,163825.OF,163825,中银互利半年定期开放债券,中银基金,周毅,混合债券型基金(一级),1028325179.05,5.8931506849315
157,164510.OF,164510,国富恒利债券(LOF)C,国海富兰克林基金,"吴楚男,刘怡敏",混合债券型基金(一级),763246533.81,6.5616438356164
158,165314.OF,165314,建信信用增强债券C,建信基金,李峰,混合债券型基金(一级),257818659.06,9.2958904109589
159,166010.OF,166010,中欧鼎利债券A,中欧基金,洪慧梅,混合债券型基金(二级),793307027.34,6.0328767123288
160,167504.OF,167504,安信中短利率债(LOF)A,安信基金,李君,短期纯债券型基金,159644772.21,4.2657534246575
161,180015.OF,180015,银华增强收益债券,银华基金,"冯帆,贾鹏",混合债券型基金(二级),467302835.45,14.832876712329
162,180025.OF,180025,银华信用双利债券A,银华基金,"孙慧,贾鹏",混合债券型基金(二级),1216317691.76,12.832876712329
163,180026.OF,180026,银华信用双利债券C,银华基金,"贾鹏,孙慧",混合债券型基金(二级),1216317691.76,12.832876712329
164,200009.OF,200009,长城稳健增利债券A,长城基金,魏建,混合债券型基金(二级),313337549.38,15.101369863014
165,200013.OF,200013,长城积极增利债券A,长城基金,"张勇,魏建",混合债券型基金(一级),44311965.88,12.476712328767
166,200113.OF,200113,长城积极增利债券C,长城基金,"魏建,张勇",混合债券型基金(一级),44311965.88,12.476712328767
167,202102.OF,202102,南方多利增强债券C,南方基金,李璇,混合债券型基金(一级),7485274941.71,17.523287671233
168,202103.OF,202103,南方多利增强债券A,南方基金,李璇,混合债券型基金(一级),7485274941.71,14.027397260274
169,202105.OF,202105,南方广利回报债券A/B,南方基金,刘文良,混合债券型基金(二级),7437273037.17,12.915068493151
170,202107.OF,202107,南方广利回报债券C,南方基金,刘文良,混合债券型基金(二级),7437273037.17,12.915068493151
171,202108.OF,202108,南方润元纯债债券A/B,南方基金,金凌志,中长期纯债券型基金,4817280959.66,11.202739726027
172,202110.OF,202110,南方润元纯债债券C,南方基金,金凌志,中长期纯债券型基金,4817280959.66,11.202739726027
173,202305.OF,202305,南方旺元60天滚动持有中短债债券A,南方基金,黄河,短期纯债券型基金,734749619.06,2.7890410958904
174,206003.OF,206003,鹏华信用增利债券A,鹏华基金,方昶,混合债券型基金(二级),1012028230.45,13.342465753425
175,206004.OF,206004,鹏华信用增利债券B,鹏华基金,方昶,混合债券型基金(二级),1012028230.45,13.342465753425
176,206006.OF,206006,鹏华全球中短债债券A类人民币(QDII),鹏华基金,郝黎黎,QDII债券型基金,62467339.06,12.975342465753
177,206008.OF,206008,鹏华丰盛债券,鹏华基金,"范晶伟,汤志彦",混合债券型基金(二级),1248673559.19,12.441095890411
178,206015.OF,206015,鹏华纯债债券,鹏华基金,吴国杰,混合债券型基金(一级),1031910369.84,11.079452054795
179,206018.OF,206018,鹏华产业债债券A,鹏华基金,祝松,混合债券型基金(一级),1534565686.42,10.652054794521
180,210014.OF,210014,金鹰元丰债券A,金鹰基金,林龙军,混合债券型基金(二级),1809842030.07,6.0301369863014
181,213007.OF,213007,宝盈增强收益债券A/B,宝盈基金,"邓栋,杨思亮",混合债券型基金(二级),1033976901.39,15.386301369863
182,213917.OF,213917,宝盈增强收益债券C,宝盈基金,"杨思亮,邓栋",混合债券型基金(二级),1033976901.39,14.953424657534
183,217003.OF,217003,招商安泰债券A,招商基金,刘万锋,混合债券型基金(一级),1666678594.46,20.438356164384
184,217008.OF,217008,招商安本增利债券C,招商基金,"王娟娟,滕越",混合债券型基金(二级),8699175914.24,17.232876712329
185,217011.OF,217011,招商安心收益债券C,招商基金,马龙,混合债券型基金(一级),9216123672.57,14.947945205479
186,217018.OF,217018,招商安瑞进取债券A,招商基金,况冲,混合债券型基金(二级),352599984.52,12.547945205479
187,217022.OF,217022,招商产业债券A,招商基金,马龙,混合债券型基金(一级),19211674868.97,11.534246575342
188,217023.OF,217023,招商信用增强债券A,招商基金,滕越,混合债券型基金(二级),859990895.35,11.202739726027
189,217024.OF,217024,招商安盈债券A,招商基金,"蔡振,尹晓红",混合债券型基金(二级),4585554603.28,11.117808219178
190,217025.OF,217025,招商理财7天债券A,招商基金,曹晋文,短期纯债券型基金,58548276.56,3.4219178082192
191,217026.OF,217026,招商理财7天债券B,招商基金,曹晋文,短期纯债券型基金,58548276.56,3.4219178082192
192,217203.OF,217203,招商安泰债券B,招商基金,刘万锋,混合债券型基金(一级),1666678594.46,17.479452054795
193,233005.OF,233005,大摩强收益债券,摩根士丹利基金,施同亮,混合债券型基金(一级),1289851189.64,13.761643835616
194,233012.OF,233012,大摩多元收益债券A,摩根士丹利基金,"方旭赟,周梦琳",混合债券型基金(二级),361305482.94,11.095890410959
195,233013.OF,233013,大摩多元收益债券C,摩根士丹利基金,"周梦琳,方旭赟",混合债券型基金(二级),361305482.94,11.095890410959
196,240003.OF,240003,华宝宝康债券A,华宝基金,李栋梁,混合债券型基金(一级),4555315419.4,20.224657534247
197,240012.OF,240012,华宝增强收益债券A,华宝基金,曾健飞,混合债券型基金(二级),106226312.6,14.624657534247
198,240013.OF,240013,华宝增强收益债券B,华宝基金,曾健飞,混合债券型基金(二级),106226312.6,14.624657534247
199,240018.OF,240018,华宝可转债债券A,华宝基金,李栋梁,可转换债券型基金,1718977036.34,12.435616438356
200,253020.OF,253020,国联安增利债券A,国联安基金,张昊,混合债券型基金(一级),51713613.3,14.564383561644
201,253021.OF,253021,国联安增利债券B,国联安基金,张昊,混合债券型基金(一级),51713613.3,14.564383561644
202,253060.OF,253060,国联安信心增长债券A,国联安基金,陆欣,混合债券型基金(二级),51521679.53,11.61095890411
203,253061.OF,253061,国联安信心增长债券B,国联安基金,陆欣,混合债券型基金(二级),51521679.53,11.61095890411
204,261001.OF,261001,景顺长城稳定收益债券A,景顺长城基金,"李训练,何江波",混合债券型基金(一级),108781063.88,12.52602739726
205,261002.OF,261002,景顺长城优信增利债券A,景顺长城基金,陈健宾,中长期纯债券型基金,1809576539.12,11.550684931507
206,261101.OF,261101,景顺长城稳定收益债券C,景顺长城基金,"李训练,何江波",混合债券型基金(一级),108781063.88,12.52602739726
207,261102.OF,261102,景顺长城优信增利债券C,景顺长城基金,陈健宾,中长期纯债券型基金,1809576539.12,11.550684931507
208,270009.OF,270009,广发增强债券C,广发基金,"方抗,张芊",混合债券型基金(一级),3340485004.64,15.520547945205
209,270029.OF,270029,广发聚财信用债券A,广发基金,"代宇,张雪",混合债券型基金(一级),531877958.81,11.556164383562
210,270030.OF,270030,广发聚财信用债券B,广发基金,"代宇,张雪",混合债券型基金(一级),531877958.81,11.556164383562
211,270043.OF,270043,广发理财年年红债券,广发基金,吴迪,短期纯债券型基金,8105425244.44,11.205479452055
212,270044.OF,270044,广发双债添利债券A,广发基金,代宇,混合债券型基金(一级),2967823971.39,11.032876712329
213,270045.OF,270045,广发双债添利债券C,广发基金,代宇,混合债券型基金(一级),2967823971.39,11.032876712329
214,270046.OF,270046,广发景荣纯债,广发基金,曾雪兰,中长期纯债券型基金,6731125569.03,3.013698630137
215,270048.OF,270048,广发纯债债券A,广发基金,宋倩倩,中长期纯债券型基金,12839999021.57,10.805479452055
216,270049.OF,270049,广发纯债债券C,广发基金,宋倩倩,中长期纯债券型基金,12839999021.57,10.805479452055
217,288102.OF,288102,华夏稳定双利债券C,华夏基金,张海静,混合债券型基金(一级),277342131.81,17.208219178082
218,290003.OF,290003,泰信双息双利债券,泰信基金,郑宇光,混合债券型基金(二级),48656239.57,17.304109589041
219,290007.OF,290007,泰信债券增强收益A,泰信基金,郑宇光,混合债券型基金(一级),685307977.11,14.180821917808
220,290009.OF,290009,泰信债券周期回报,泰信基金,郑宇光,混合债券型基金(一级),623870762.98,12.646575342466
221,291007.OF,291007,泰信债券增强收益C,泰信基金,郑宇光,混合债券型基金(一级),685307977.11,14.180821917808
222,310508.OF,310508,申万菱信稳益宝债券A,申万菱信基金,舒世茂,混合债券型基金(二级),213992129.55,12.641095890411
223,310518.OF,310518,申万菱信可转债债券A,申万菱信基金,杨翰,可转换债券型基金,76452117.41,11.816438356164
224,320004.OF,320004,诺安优化收益债券,诺安基金,张立,混合债券型基金(一级),622650219.16,17.216438356164
225,320008.OF,320008,诺安增利债券A,诺安基金,张立,混合债券型基金(二级),27117578.61,14.353424657534
226,320009.OF,320009,诺安增利债券B,诺安基金,张立,混合债券型基金(二级),27117578.61,14.087671232877
227,320021.OF,320021,诺安双利债券发起,诺安基金,"王海畅,孔宪政,潘飞",混合债券型基金(二级),2734428421.15,10.841095890411
228,340009.OF,340009,兴全磐稳增利债券A,兴证全球基金,张睿,混合债券型基金(一级),1476312997.11,14.197260273973
229,350006.OF,350006,天治稳健双盈债券,天治基金,许家涵,混合债券型基金(二级),171820637.85,14.909589041096
230,360008.OF,360008,光大保德信增利收益债券A,光大保德信基金,黄波,混合债券型基金(一级),8316631607.14,14.928767123288
